vn_count,success_count,inservice_count,total_revenue,total_cost,total_r2c,total_time_revenue,total_time_cost,num_running_pn_nodes,event_id,event_type,event_time,pn_available_resource,pn_node_available_resource,pn_edge_available_resource,pn_node_resource_utilization,pn_edge_resource_utilization,vn_id,lifetime,arrival_time,vn_num_nodes,vn_num_egdes,result,node_slots,edge_paths,node_slots_info,edge_paths_info,vn_cost,vn_revenue,vn_demand,vn_node_demand,vn_edge_demand,vn_node_revenue,vn_edge_revenue,vn_node_cost,vn_edge_cost,vn_path_cost,vn_r2c_ratio,vn_time_cost,vn_time_revenue,vn_time_rc_ratio,description,violation,current_violation,total_place_violation,total_route_violation,place_result,route_result,early_rejection,revoke_times,selected_actions,vn_rc_ratio
1,1,1,362,500,0.724,82458.07659231467,113892.37098386003,7,0,1,11.0,41058,7264,33794,0.026142914599812328,0.008944543828264706,0,227.78474196772007,11.0,7,10,True,"OrderedDict([(6, 99), (5, 5), (2, 18), (1, 52), (4, 9), (0, 38), (3, 51)])","OrderedDict([((5, 6), [5, 99]), ((2, 6), [18, 99]), ((1, 2), [52, 96, 18]), ((1, 5), [52, 79, 5]), ((1, 6), [52, 99]), ((4, 2), [9, 45, 18]), ((0, 2), [38, 5, 94, 18]), ((0, 5), [38, 5]), ((3, 0), [51, 38]), ((3, 4), [51, 5, 9])])",OrderedDict(),OrderedDict(),500,362,0,0,0,195,167,0,0,138,0,113892.37098386003,82458.07659231467,164.9161531846293,Success,0,0,0,0,True,True,False,0,[],0.724
2,2,2,577,761,0.7582128777923784,155228.76405377887,202232.60087893985,7,1,1,23.0,40797,7179,33618,0.03753854404075618,0.014105985512771646,1,338.4683137742521,23.0,3,3,True,"OrderedDict([(2, 99), (1, 5), (0, 18)])","OrderedDict([((1, 2), [5, 99]), ((0, 1), [18, 96, 5]), ((0, 2), [18, 99])])",OrderedDict(),OrderedDict(),261,215,0,0,0,85,130,0,0,46,0,88340.2298950798,72770.6874614642,278.81489448836857,Success,0,0,0,0,True,True,False,0,[],0.8237547892720306
3,3,3,1050,1515,0.693069306930693,170166.8774478704,226045.15373125492,10,2,1,34.0,40043,7026,33017,0.05805067703445499,0.0317311358104343,2,31.58163508264597,34.0,7,14,True,"OrderedDict([(6, 99), (4, 5), (2, 49), (0, 9), (5, 51), (3, 71), (1, 79)])","OrderedDict([((4, 6), [5, 99]), ((2, 6), [49, 99]), ((0, 2), [9, 39, 55, 49]), ((0, 4), [9, 5]), ((0, 6), [9, 5, 99]), ((5, 0), [51, 45, 9]), ((5, 2), [51, 31, 3, 49]), ((5, 4), [51, 5]), ((3, 2), [71, 22, 8, 49]), ((3, 4), [71, 5]), ((1, 0), [79, 9]), ((1, 2), [79, 52, 99, 49]), ((1, 3), [79, 5, 71]), ((1, 4), [79, 5])])",OrderedDict(),OrderedDict(),754,473,0,0,0,153,320,0,0,281,0,23812.55285231506,14938.113394091544,19.81182147757499,Success,0,0,0,0,True,True,False,0,[],0.6273209549071618
4,3,3,1050,1515,0.693069306930693,170166.8774478704,226045.15373125492,10,3,1,41.0,40043,7026,33017,0.05805067703445499,0.0317311358104343,3,578.0084862358601,41.0,10,25,False,OrderedDict(),OrderedDict(),OrderedDict(),OrderedDict(),0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,Unknown Reason,0,0,0,0,True,True,False,0,[],0.0
5,4,4,1490,2272,0.6558098591549296,594836.4109986031,956669.7830446744,10,4,1,45.0,39286,6859,32427,0.08043973723019171,0.049033696002815375,4,965.1580307971196,45.0,6,7,True,"OrderedDict([(5, 49), (3, 52), (1, 38), (4, 51), (2, 71), (0, 79)])","OrderedDict([((3, 5), [52, 99, 49]), ((1, 3), [38, 23, 63, 52]), ((1, 5), [38, 72, 60, 49]), ((4, 3), [51, 63, 52]), ((2, 1), [71, 5, 38]), ((0, 3), [79, 52]), ((0, 4), [79, 24, 51])])",OrderedDict(),OrderedDict(),757,440,0,0,0,167,273,0,0,317,0,730624.6293134196,424669.53355073265,560.9901367909282,Success,0,0,0,0,True,True,False,0,[],0.5812417437252312
6,5,5,1714,2577,0.6651144741948002,759110.8262936659,1180347.0002991126,13,5,1,49.0,38981,6729,32252,0.09786834696339997,0.0541658113141148,5,733.3679254243879,49.0,4,4,True,"OrderedDict([(3, 71), (0, 85), (2, 90), (1, 92)])","OrderedDict([((0, 3), [85, 35, 71]), ((2, 0), [90, 5, 85]), ((1, 0), [92, 5, 85]), ((1, 2), [92, 90])])",OrderedDict(),OrderedDict(),305,224,0,0,0,130,94,0,0,81,0,223677.2172544383,164274.41529506288,538.6046403116816,Success,0,0,0,0,True,True,False,0,[],0.7344262295081967
7,5,5,1714,2577,0.6651144741948002,759110.8262936659,1180347.0002991126,13,6,1,63.0,38981,6729,32252,0.09786834696339997,0.0541658113141148,6,46.03354612330913,63.0,7,12,False,OrderedDict(),OrderedDict(),OrderedDict(),OrderedDict(),0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,Unknown Reason,0,0,0,0,True,True,False,0,[],0.0
7,5,4,1714,2577,0.6651144741948002,759110.8262936659,1180347.0002991126,13,7,0,65.58163508264597,39735,6882,32853,0.07735621396970105,0.03654066101645215,2,31.58163508264597,34.0,7,14,False,OrderedDict(),OrderedDict(),OrderedDict(),OrderedDict(),0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,Leave Event,0,0,0,0,True,True,False,0,[],
8,5,4,1714,2577,0.6651144741948002,759110.8262936659,1180347.0002991126,13,8,1,72.0,39735,6882,32853,0.07735621396970105,0.03654066101645215,7,117.01662963440869,72.0,4,4,False,OrderedDict(),OrderedDict(),OrderedDict(),OrderedDict(),0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,Unknown Reason,0,0,0,0,True,True,False,0,[],0.0
9,5,4,1714,2577,0.6651144741948002,759110.8262936659,1180347.0002991126,13,9,1,83.0,39735,6882,32853,0.07735621396970105,0.03654066101645215,8,340.0230187778826,83.0,4,4,False,OrderedDict(),OrderedDict(),OrderedDict(),OrderedDict(),0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,Unknown Reason,0,0,0,0,True,True,False,0,[],0.0
