vn_count,success_count,inservice_count,total_revenue,total_cost,total_r2c,total_time_revenue,total_time_cost,num_running_pn_nodes,event_id,event_type,event_time,pn_available_resource,pn_node_available_resource,pn_edge_available_resource,pn_node_resource_utilization,pn_edge_resource_utilization,vn_id,lifetime,arrival_time,vn_num_nodes,vn_num_egdes,result,node_slots,edge_paths,node_slots_info,edge_paths_info,vn_cost,vn_revenue,vn_demand,vn_node_demand,vn_edge_demand,vn_node_revenue,vn_edge_revenue,vn_node_cost,vn_edge_cost,vn_path_cost,vn_r2c_ratio,vn_time_cost,vn_time_revenue,vn_time_rc_ratio,description,violation,current_violation,total_place_violation,total_route_violation,place_result,route_result,early_rejection,revoke_times,selected_actions,vn_rc_ratio
1,1,1,37,37,1.0,24423.473266788616,24423.473266788616,2,0,1,6.0,41850,7350,34500,0.004199972903400573,0.00017388280299079906,0,660.093872075368,6.0,2,1,True,"OrderedDict([(1, 99), (0, 13)])","OrderedDict([((0, 1), [13, 99])])",OrderedDict(),OrderedDict(),37,37,0,0,0,31,6,0,0,0,0,24423.473266788616,24423.473266788616,660.093872075368,Success,0,0,0,0,True,True,False,0,[],1.0
2,2,2,225,277,0.8122743682310469,84873.37877352885,101593.56540305274,4,1,1,19.0,41610,7262,34348,0.01612247662918309,0.004578913812090635,1,321.5420505677672,19.0,4,4,True,"OrderedDict([(3, 99), (2, 13), (0, 24), (1, 36)])","OrderedDict([((2, 3), [13, 99]), ((0, 2), [24, 21, 13]), ((0, 3), [24, 99]), ((1, 2), [36, 55, 13])])",OrderedDict(),OrderedDict(),240,188,0,0,0,88,100,0,0,52,0,77170.09213626412,60449.90550674024,251.87460627808431,Success,0,0,0,0,True,True,False,0,[],0.7833333333333333
3,3,3,260,322,0.8074534161490683,89025.9645025511,106932.6041975099,4,2,1,27.0,41565,7237,34328,0.019509551551280313,0.005158523155393224,2,118.64530654349277,27.0,2,1,True,"OrderedDict([(1, 13), (0, 24)])","OrderedDict([((0, 1), [24, 21, 13])])",OrderedDict(),OrderedDict(),45,35,0,0,0,25,10,0,0,10,0,5339.038794457175,4152.585729022247,92.27968286716104,Success,0,0,0,0,True,True,False,0,[],0.7777777777777778
4,4,4,915,1538,0.5949284785435631,314485.2226371651,525495.135329862,10,3,1,35.0,40349,7072,33277,0.041864246037122355,0.03561699414594566,3,344.2126078391054,35.0,9,17,True,"OrderedDict([(8, 13), (7, 24), (6, 36), (5, 37), (4, 41), (2, 93), (1, 11), (3, 26), (0, 66)])","OrderedDict([((7, 8), [24, 21, 13]), ((6, 7), [36, 99, 24]), ((6, 8), [36, 99, 13]), ((5, 8), [37, 66, 13]), ((4, 8), [41, 11, 13]), ((2, 4), [93, 27, 41]), ((2, 5), [93, 99, 37]), ((2, 8), [93, 21, 13]), ((1, 2), [11, 15, 93]), ((1, 6), [11, 29, 36]), ((1, 8), [11, 13]), ((3, 1), [26, 88, 11]), ((3, 2), [26, 13, 27, 93]), ((0, 1), [66, 47, 11]), ((0, 2), [66, 92, 99, 93]), ((0, 4), [66, 44, 41]), ((0, 6), [66, 5, 23, 36])])",OrderedDict(),OrderedDict(),1216,655,0,0,0,165,490,0,0,561,0,418562.53113235213,225459.258134614,185.41057412386021,Success,0,0,0,0,True,True,False,0,[],0.5386513157894737
5,5,5,1794,2881,0.6227004512322111,692347.7564747399,1102820.9407267482,16,4,1,45.0,39006,6779,32227,0.0815607641241024,0.06604648466933283,4,429.8777404295504,45.0,10,28,True,"OrderedDict([(9, 99), (8, 37), (7, 41), (6, 45), (3, 48), (2, 62), (1, 86), (0, 97), (5, 11), (4, 21)])","OrderedDict([((8, 9), [37, 99]), ((7, 9), [41, 99]), ((6, 9), [45, 99]), ((3, 6), [48, 99, 45]), ((3, 7), [48, 41]), ((3, 8), [48, 1, 37]), ((3, 9), [48, 99]), ((2, 6), [62, 99, 45]), ((2, 7), [62, 99, 41]), ((2, 9), [62, 99]), ((1, 2), [86, 99, 62]), ((1, 6), [86, 37, 45]), ((1, 8), [86, 37]), ((1, 9), [86, 99]), ((0, 2), [97, 70, 62]), ((0, 3), [97, 77, 48]), ((0, 9), [97, 99]), ((5, 0), [11, 29, 97]), ((5, 1), [11, 32, 86]), ((5, 3), [11, 28, 48]), ((5, 6), [11, 65, 45]), ((5, 7), [11, 41]), ((4, 0), [21, 29, 97]), ((4, 1), [21, 5, 9, 86]), ((4, 3), [21, 28, 48]), ((4, 5), [21, 22, 11]), ((4, 6), [21, 56, 45]), ((4, 7), [21, 28, 74, 41])])",OrderedDict(),OrderedDict(),1343,879,0,0,0,293,586,0,0,464,0,577325.8053968862,377862.53383757477,281.35706168099387,Success,0,0,0,0,True,True,False,0,[],0.6545048399106478
6,6,6,2040,3259,0.6259588830929733,1034917.4571817858,1629208.5296180625,17,5,1,53.0,38628,6687,31941,0.09402519983742041,0.07433489827856021,5,1392.5597589717315,53.0,6,7,True,"OrderedDict([(5, 13), (4, 24), (3, 37), (1, 62), (0, 72), (2, 97)])","OrderedDict([((4, 5), [24, 66, 13]), ((3, 4), [37, 24]), ((3, 5), [37, 66, 13]), ((1, 3), [62, 77, 37]), ((1, 4), [62, 38, 24]), ((0, 4), [72, 99, 24]), ((2, 1), [97, 70, 62])])",OrderedDict(),OrderedDict(),378,246,0,0,0,92,154,0,0,132,0,526387.5888913145,342569.70070704597,906.2690494895396,Success,0,0,0,0,True,True,False,0,[],0.6507936507936508
7,7,7,2251,3585,0.6278940027894003,1132790.1722451125,1780424.1936495532,17,6,1,61.0,38302,6611,31691,0.10432190760059612,0.08158001506984291,6,463.8517301579467,61.0,5,6,True,"OrderedDict([(4, 37), (3, 41), (2, 45), (0, 48), (1, 72)])","OrderedDict([((3, 4), [41, 74, 37]), ((2, 3), [45, 99, 41]), ((2, 4), [45, 37]), ((0, 3), [48, 41]), ((0, 4), [48, 1, 37]), ((1, 0), [72, 74, 48])])",OrderedDict(),OrderedDict(),326,211,0,0,0,76,135,0,0,115,0,151215.66403149063,97872.71506332674,300.22305234149314,Success,0,0,0,0,True,True,False,0,[],0.647239263803681
8,8,8,2461,3889,0.6328104911288249,1233606.205860694,1926367.4042168714,18,7,1,72.0,37998,6484,31514,0.12152824820485031,0.0867095577580711,7,480.0763505503884,72.0,4,6,True,"OrderedDict([(3, 24), (2, 45), (1, 86), (0, 27)])","OrderedDict([((2, 3), [45, 99, 24]), ((1, 2), [86, 81, 45]), ((1, 3), [86, 32, 24]), ((0, 1), [27, 30, 9, 86]), ((0, 2), [27, 89, 45]), ((0, 3), [27, 38, 24])])",OrderedDict(),OrderedDict(),304,210,0,0,0,127,83,0,0,94,0,145943.21056731808,100816.03361558156,331.63168952493936,Success,0,0,0,0,True,True,False,0,[],0.6907894736842105
9,9,9,2948,4677,0.6303185802865084,1245495.2189244342,1945604.6573877693,22,8,1,82.0,37210,6349,30861,0.1398184527841756,0.10563380281690138,8,24.412757831088868,82.0,8,12,True,"OrderedDict([(7, 99), (4, 48), (3, 92), (2, 97), (1, 55), (6, 66), (5, 68), (0, 54)])","OrderedDict([((4, 7), [48, 99]), ((3, 7), [92, 99]), ((2, 3), [97, 99, 92]), ((2, 7), [97, 99]), ((1, 3), [55, 25, 92]), ((1, 7), [55, 36, 99]), ((6, 2), [66, 5, 79, 97]), ((6, 3), [66, 92]), ((5, 4), [68, 41, 48]), ((0, 2), [54, 36, 93, 97]), ((0, 3), [54, 4, 92]), ((0, 6), [54, 52, 66])])",OrderedDict(),OrderedDict(),788,487,0,0,0,135,352,0,0,301,0,19237.253170898028,11889.013063740278,15.087580030127258,Success,0,0,0,0,True,True,False,0,[],0.618020304568528
10,10,10,3277,5127,0.6391652038228984,1277882.7392893203,1989903.6974005315,27,9,1,90.0,36760,6189,30571,0.1614957322855981,0.11403813829478926,9,98.44231113947173,90.0,7,8,True,"OrderedDict([(6, 99), (3, 32), (2, 54), (1, 19), (5, 22), (4, 40), (0, 60)])","OrderedDict([((3, 6), [32, 86, 99]), ((2, 6), [54, 72, 99]), ((1, 2), [19, 72, 54]), ((1, 6), [19, 72, 99]), ((5, 1), [22, 19]), ((5, 3), [22, 11, 32]), ((4, 1), [40, 72, 19]), ((0, 1), [60, 19])])",OrderedDict(),OrderedDict(),450,329,0,0,0,160,169,0,0,121,0,44299.04001276228,32387.520364886197,71.9722674775249,Success,0,0,0,0,True,True,False,0,[],0.7311111111111112
