vn_count,success_count,inservice_count,total_revenue,total_cost,total_r2c,total_time_revenue,total_time_cost,num_running_pn_nodes,event_id,event_type,event_time,pn_available_resource,pn_node_available_resource,pn_edge_available_resource,pn_node_resource_utilization,pn_edge_resource_utilization,vn_id,lifetime,arrival_time,vn_num_nodes,vn_num_egdes,result,node_slots,edge_paths,node_slots_info,edge_paths_info,vn_cost,vn_revenue,vn_demand,vn_node_demand,vn_edge_demand,vn_node_revenue,vn_edge_revenue,vn_node_cost,vn_edge_cost,vn_path_cost,vn_r2c_ratio,vn_time_cost,vn_time_revenue,vn_time_rc_ratio,description,violation,current_violation,total_place_violation,total_route_violation,place_result,route_result,early_rejection,revoke_times,selected_actions,vn_rc_ratio
1,1,1,661,903,0.7320044296788483,189331.6102455389,258648.17556992683,10,0,1,11.0,42346,7237,35109,0.03442294863242157,0.018039939587179088,0,286.43208811730545,11.0,10,18,True,"OrderedDict([(4, 98), (3, 5), (0, 11), (6, 19), (9, 34), (2, 41), (5, 60), (7, 71), (8, 75), (1, 81)])","OrderedDict([((3, 4), [5, 98]), ((0, 4), [11, 98]), ((6, 3), [19, 98, 5]), ((9, 3), [34, 51, 5]), ((9, 6), [34, 19]), ((2, 0), [41, 98, 11]), ((2, 3), [41, 71, 5]), ((2, 6), [41, 75, 19]), ((2, 9), [41, 96, 34]), ((5, 2), [60, 98, 41]), ((5, 6), [60, 24, 19]), ((7, 6), [71, 73, 19]), ((8, 2), [75, 41]), ((8, 7), [75, 41, 71]), ((1, 2), [81, 41]), ((1, 5), [81, 14, 60]), ((1, 6), [81, 50, 19]), ((1, 8), [81, 31, 75])])",OrderedDict(),OrderedDict(),903,661,0,0,0,258,403,0,0,242,0,258648.17556992683,189331.6102455389,209.66955730402978,Success,0,0,0,0,True,True,False,0,[],0.7320044296788483
2,2,2,839,1125,0.7457777777777778,390282.0798610897,509271.7949780857,14,1,1,23.0,42124,7151,34973,0.04589726484322887,0.021843709794708288,1,1128.935222559274,23.0,4,5,True,"OrderedDict([(0, 82), (3, 15), (1, 33), (2, 44)])","OrderedDict([((3, 0), [15, 82]), ((1, 0), [33, 82]), ((1, 3), [33, 82, 15]), ((2, 1), [44, 82, 33]), ((2, 3), [44, 15])])",OrderedDict(),OrderedDict(),222,178,0,0,0,86,92,0,0,44,0,250623.61940815885,200950.46961555077,905.1822955655441,Success,0,0,0,0,True,True,False,0,[],0.8018018018018018
3,3,3,1163,1575,0.7384126984126984,471525.1063593149,622109.3317811762,20,2,1,34.0,41674,6999,34675,0.0661774516344229,0.030178441572970893,2,250.75008178464552,34.0,6,7,True,"OrderedDict([(3, 96), (2, 20), (0, 25), (5, 27), (1, 29), (4, 40)])","OrderedDict([((2, 3), [20, 96]), ((0, 3), [25, 96]), ((5, 3), [27, 96]), ((1, 0), [29, 96, 25]), ((1, 2), [29, 52, 20]), ((4, 0), [40, 96, 25]), ((4, 2), [40, 96, 20])])",OrderedDict(),OrderedDict(),450,324,0,0,0,152,172,0,0,126,0,112837.53680309048,81243.02649822515,180.54005888494476,Success,0,0,0,0,True,True,False,0,[],0.72
4,4,4,1488,1996,0.7454909819639278,686090.722958077,900054.3305137265,25,3,1,46.0,41253,6858,34395,0.0849899933288859,0.03800973317670753,3,660.2018972269602,46.0,6,9,True,"OrderedDict([(5, 69), (3, 14), (4, 19), (2, 43), (1, 50), (0, 62)])","OrderedDict([((3, 5), [14, 69]), ((4, 3), [19, 50, 14]), ((4, 5), [19, 69]), ((2, 4), [43, 56, 19]), ((2, 5), [43, 69]), ((1, 2), [50, 64, 43]), ((0, 1), [62, 42, 50]), ((0, 2), [62, 69, 43]), ((0, 3), [62, 55, 14])])",OrderedDict(),OrderedDict(),421,325,0,0,0,141,184,0,0,96,0,277944.99873255024,214565.61659876208,509.657046552879,Success,0,0,0,0,True,True,False,0,[],0.7719714964370546
5,5,5,2176,2981,0.7299563904729957,1272534.1325781865,1739657.1771355402,32,4,1,57.0,40268,6606,33662,0.11861240827218145,0.058510935839346634,4,852.388676773415,57.0,9,16,True,"OrderedDict([(8, 24), (6, 8), (1, 19), (7, 28), (0, 31), (5, 35), (3, 40), (4, 94), (2, 7)])","OrderedDict([((6, 8), [8, 24]), ((1, 6), [19, 24, 8]), ((1, 8), [19, 24]), ((7, 1), [28, 91, 19]), ((7, 8), [28, 24]), ((0, 7), [31, 28]), ((0, 8), [31, 24]), ((5, 0), [35, 52, 31]), ((5, 8), [35, 24]), ((3, 8), [40, 24]), ((4, 0), [94, 24, 31]), ((4, 5), [94, 24, 35]), ((4, 6), [94, 78, 8]), ((4, 7), [94, 41, 28]), ((2, 1), [7, 17, 19]), ((2, 4), [7, 8, 78, 94])])",OrderedDict(),OrderedDict(),985,688,0,0,0,252,436,0,0,297,0,839602.8466218137,586443.4096201095,595.3740199188928,Success,0,0,0,0,True,True,False,0,[],0.698477157360406
6,6,6,2574,3479,0.7398677780971543,1362080.5333702355,1851702.6736039834,36,5,1,70.0,39770,6472,33298,0.1364909939959973,0.06869161492420428,5,224.99095676394236,70.0,5,8,True,"OrderedDict([(2, 77), (3, 11), (4, 17), (0, 18), (1, 47)])","OrderedDict([((3, 2), [11, 77]), ((4, 2), [17, 77]), ((4, 3), [17, 77, 11]), ((0, 2), [18, 77]), ((0, 3), [18, 77, 11]), ((1, 0), [47, 18]), ((1, 3), [47, 22, 11]), ((1, 4), [47, 9, 17])])",OrderedDict(),OrderedDict(),498,398,0,0,0,134,264,0,0,100,0,112045.49646844329,89546.40079204905,179.81204978323103,Success,0,0,0,0,True,True,False,0,[],0.7991967871485943
7,7,7,2992,4002,0.7476261869065467,1573334.4410773036,2116022.754299669,39,6,1,81.0,39247,6323,32924,0.15637091394262836,0.07915198299490966,6,505.3921237011198,81.0,6,8,True,"OrderedDict([(4, 87), (0, 19), (1, 33), (3, 46), (2, 71), (5, 85)])","OrderedDict([((0, 4), [19, 87]), ((1, 0), [33, 87, 19]), ((1, 4), [33, 87]), ((3, 4), [46, 87]), ((2, 0), [71, 98, 19]), ((2, 3), [71, 46]), ((5, 0), [85, 19]), ((5, 3), [85, 87, 46])])",OrderedDict(),OrderedDict(),523,418,0,0,0,149,269,0,0,105,0,264320.08069568564,211253.90770706805,403.92716578789305,Success,0,0,0,0,True,True,False,0,[],0.7992351816443595
8,8,8,3400,4604,0.738488271068636,2836811.315597579,3980270.4956261534,45,7,1,95.0,38645,6129,32516,0.18225483655770514,0.09056329361749738,7,3096.7570453928315,95.0,7,11,True,"OrderedDict([(4, 32), (1, 52), (3, 56), (2, 68), (6, 70), (0, 96), (5, 3)])","OrderedDict([((1, 4), [52, 20, 32]), ((3, 1), [56, 0, 52]), ((3, 4), [56, 32]), ((2, 3), [68, 20, 56]), ((2, 4), [68, 20, 32]), ((6, 1), [70, 20, 52]), ((6, 2), [70, 20, 68]), ((6, 4), [70, 20, 32]), ((0, 1), [96, 20, 52]), ((0, 3), [96, 73, 56]), ((5, 6), [3, 18, 42, 70])])",OrderedDict(),OrderedDict(),602,408,0,0,0,194,214,0,0,194,0,1864247.7413264846,1263476.8745202753,2098.7987948841783,Success,0,0,0,0,True,True,False,0,[],0.6777408637873754
9,9,9,3855,5219,0.7386472504311171,2932289.431001303,4109323.3329300876,49,8,1,106.0,38030,5972,32058,0.20320213475650428,0.10337304916932366,8,209.84201187631575,106.0,8,14,True,"OrderedDict([(7, 50), (4, 0), (1, 14), (3, 53), (6, 59), (5, 64), (0, 69), (2, 81)])","OrderedDict([((4, 7), [0, 50]), ((1, 7), [14, 50]), ((3, 4), [53, 42, 0]), ((3, 7), [53, 50]), ((6, 7), [59, 50]), ((5, 1), [64, 50, 14]), ((5, 3), [64, 50, 53]), ((5, 6), [64, 50, 59]), ((0, 3), [69, 14, 53]), ((0, 4), [69, 50, 0]), ((0, 5), [69, 43, 64]), ((2, 3), [81, 14, 53]), ((2, 4), [81, 42, 0]), ((2, 6), [81, 42, 59])])",OrderedDict(),OrderedDict(),615,455,0,0,0,157,298,0,0,160,0,129052.83730393418,95478.11540372367,155.24896813613606,Success,0,0,0,0,True,True,False,0,[],0.7398373983739838
10,10,10,3897,5261,0.7407337008173351,2956191.7715433706,4133225.6734721554,51,9,1,120.0,37988,5952,32036,0.20587058038692463,0.10398836493818875,9,569.103346239706,120.0,2,1,True,"OrderedDict([(0, 93), (1, 1)])","OrderedDict([((1, 0), [1, 93])])",OrderedDict(),OrderedDict(),42,42,0,0,0,20,22,0,0,0,0,23902.34054206765,23902.34054206765,569.103346239706,Success,0,0,0,0,True,True,False,0,[],1.0
