vn_count,success_count,inservice_count,total_revenue,total_cost,total_r2c,total_time_revenue,total_time_cost,num_running_pn_nodes,event_id,event_type,event_time,pn_available_resource,pn_node_available_resource,pn_edge_available_resource,pn_node_resource_utilization,pn_edge_resource_utilization,vn_id,lifetime,arrival_time,vn_num_nodes,vn_num_egdes,result,node_slots,edge_paths,node_slots_info,edge_paths_info,vn_cost,vn_revenue,vn_demand,vn_node_demand,vn_edge_demand,vn_node_revenue,vn_edge_revenue,vn_node_cost,vn_edge_cost,vn_path_cost,vn_r2c_ratio,vn_time_cost,vn_time_revenue,vn_time_rc_ratio,description,violation,current_violation,total_place_violation,total_route_violation,place_result,route_result,early_rejection,revoke_times,selected_actions,vn_rc_ratio
1,1,1,462,685,0.6744525547445256,374772.84429294895,555669.6933780736,7,0,1,2.0,40605,7269,33336,0.022721161602581308,0.015242821694434583,0,811.1966326687207,2.0,7,10,True,"OrderedDict([(5, 32), (1, 2), (4, 6), (2, 19), (0, 30), (3, 55), (6, 59)])","OrderedDict([((1, 5), [2, 32]), ((4, 5), [6, 32]), ((2, 5), [19, 32]), ((0, 2), [30, 32, 19]), ((0, 4), [30, 28, 6]), ((3, 0), [55, 32, 30]), ((3, 1), [55, 14, 2]), ((6, 2), [59, 32, 19]), ((6, 3), [59, 32, 55]), ((6, 4), [59, 78, 6])])",OrderedDict(),OrderedDict(),685,462,0,0,0,169,293,0,0,223,0,555669.6933780736,374772.84429294895,547.1136413035752,Success,0,0,0,0,True,True,False,0,[],0.6744525547445256
2,2,2,592,815,0.7263803680981595,412445.2312838427,593342.0803689674,9,1,1,8.0,40475,7180,33295,0.03468674374831948,0.01645397613139543,1,289.787592237644,8.0,2,1,True,"OrderedDict([(1, 7), (0, 9)])","OrderedDict([((0, 1), [9, 7])])",OrderedDict(),OrderedDict(),130,130,0,0,0,89,41,0,0,0,0,37672.38699089372,37672.38699089372,289.787592237644,Success,0,0,0,0,True,True,False,0,[],1.0
3,3,3,940,1264,0.7436708860759493,562519.6124961256,786972.5319905623,14,2,1,22.0,40026,7106,32920,0.04463565474589948,0.027531608176769473,2,431.24822187437627,22.0,6,8,True,"OrderedDict([(0, 64), (4, 3), (2, 7), (5, 15), (3, 22), (1, 24)])","OrderedDict([((4, 0), [3, 64]), ((2, 0), [7, 64]), ((5, 0), [15, 64]), ((5, 2), [15, 97, 7]), ((5, 4), [15, 21, 3]), ((3, 2), [22, 7]), ((3, 5), [22, 28, 15]), ((1, 2), [24, 64, 7])])",OrderedDict(),OrderedDict(),449,348,0,0,0,74,274,0,0,101,0,193630.45162159496,150074.38121228295,334.2413835462872,Success,0,0,0,0,True,True,False,0,[],0.7750556792873051
4,4,4,1413,1933,0.7309881013967926,1247140.3385895733,1755283.8760846774,21,3,1,29.0,39357,6955,32402,0.06493681097069104,0.04283351057544604,3,1447.4011122483034,29.0,8,12,True,"OrderedDict([(3, 23), (1, 1), (0, 9), (6, 44), (7, 46), (2, 60), (5, 68), (4, 90)])","OrderedDict([((1, 3), [1, 23]), ((0, 3), [9, 23]), ((6, 1), [44, 55, 1]), ((6, 3), [44, 23]), ((7, 3), [46, 23]), ((2, 3), [60, 23]), ((2, 7), [60, 23, 46]), ((5, 1), [68, 23, 1]), ((4, 0), [90, 52, 9]), ((4, 2), [90, 18, 60]), ((4, 5), [90, 25, 68]), ((4, 6), [90, 23, 44])])",OrderedDict(),OrderedDict(),669,473,0,0,0,151,322,0,0,196,0,968311.344094115,684620.7260934475,1023.3493663579185,Success,0,0,0,0,True,True,False,0,[],0.7070254110612855
5,5,5,1599,2164,0.738909426987061,1299282.844817688,1820041.5047873359,24,4,1,37.0,39126,6882,32244,0.07475127722506048,0.047500886210563587,4,280.33605498986367,37.0,4,3,True,"OrderedDict([(2, 53), (0, 1), (3, 12), (1, 52)])","OrderedDict([((0, 2), [1, 53]), ((3, 2), [12, 53]), ((1, 0), [52, 12, 1])])",OrderedDict(),OrderedDict(),231,186,0,0,0,73,113,0,0,45,0,64757.628702658505,52142.506228114646,225.72513518664348,Success,0,0,0,0,True,True,False,0,[],0.8051948051948052
6,6,6,2343,3127,0.7492804605052766,2120562.6144636506,2883068.9485629564,30,5,1,44.0,38163,6681,31482,0.10177467061037915,0.0700106345267636,5,1103.8706581262936,44.0,10,21,True,"OrderedDict([(5, 65), (2, 10), (1, 28), (0, 52), (3, 59), (6, 76), (9, 80), (7, 90), (8, 5), (4, 12)])","OrderedDict([((2, 5), [10, 65]), ((1, 2), [28, 10]), ((1, 5), [28, 65]), ((0, 2), [52, 10]), ((0, 5), [52, 65]), ((3, 0), [59, 92, 52]), ((3, 5), [59, 65]), ((6, 1), [76, 6, 28]), ((6, 2), [76, 65, 10]), ((6, 3), [76, 7, 59]), ((6, 5), [76, 65]), ((9, 1), [80, 65, 28]), ((9, 2), [80, 63, 10]), ((9, 5), [80, 65]), ((7, 0), [90, 52]), ((7, 2), [90, 65, 10]), ((8, 0), [5, 10, 52]), ((8, 3), [5, 4, 78, 59]), ((8, 6), [5, 4, 76]), ((4, 2), [12, 10]), ((4, 7), [12, 58, 90])])",OrderedDict(),OrderedDict(),963,744,0,0,0,201,543,0,0,219,0,1063027.4437756208,821279.7696459624,852.8346517611241,Success,0,0,0,0,True,True,False,0,[],0.7725856697819314
7,7,7,2630,3441,0.7643126997965708,2194165.8307446903,2963596.5092328046,34,6,1,50.0,37849,6494,31355,0.1269158375907502,0.07376225924613022,6,256.4571995855046,50.0,5,6,True,"OrderedDict([(3, 92), (0, 4), (1, 24), (2, 34), (4, 42)])","OrderedDict([((0, 3), [4, 92]), ((1, 0), [24, 58, 4]), ((1, 3), [24, 92]), ((2, 0), [34, 92, 4]), ((2, 3), [34, 92]), ((4, 3), [42, 92])])",OrderedDict(),OrderedDict(),314,287,0,0,0,187,100,0,0,27,0,80527.56066984845,73603.21628103983,234.40514739184658,Success,0,0,0,0,True,True,False,0,[],0.9140127388535032
8,8,8,2792,3623,0.7706320728677891,2223056.815661704,2996054.282411178,36,7,1,62.0,37667,6397,31270,0.13995697768217263,0.07627318917641501,7,178.33941306798647,62.0,3,3,True,"OrderedDict([(2, 84), (1, 0), (0, 10)])","OrderedDict([((1, 2), [0, 84]), ((0, 1), [10, 84, 0]), ((0, 2), [10, 84])])",OrderedDict(),OrderedDict(),182,162,0,0,0,97,65,0,0,20,0,32457.773178373536,28890.984917013808,158.74167536820772,Success,0,0,0,0,True,True,False,0,[],0.8901098901098901
9,9,9,3439,4504,0.7635435168738899,2461632.887235756,3320915.9811078394,41,8,1,71.0,36786,6104,30682,0.17934928744286094,0.09364291622356136,8,368.7419962504668,71.0,9,17,True,"OrderedDict([(6, 43), (4, 5), (7, 44), (8, 71), (3, 72), (1, 80), (0, 10), (5, 31), (2, 57)])","OrderedDict([((4, 6), [5, 43]), ((7, 4), [44, 43, 5]), ((7, 6), [44, 43]), ((8, 6), [71, 43]), ((3, 6), [72, 43]), ((3, 7), [72, 43, 44]), ((1, 3), [80, 20, 72]), ((1, 6), [80, 43]), ((0, 3), [10, 5, 43, 72]), ((0, 4), [10, 5]), ((0, 6), [10, 5, 43]), ((5, 1), [31, 5, 43, 80]), ((5, 3), [31, 60, 72]), ((5, 4), [31, 5]), ((5, 7), [31, 5, 43, 44]), ((2, 0), [57, 5, 10]), ((2, 8), [57, 53, 71])])",OrderedDict(),OrderedDict(),881,647,0,0,0,293,354,0,0,234,0,324861.6986966613,238576.071574052,270.8014433303655,Success,0,0,0,0,True,True,False,0,[],0.7343927355278093
10,10,10,3849,5067,0.7596210775606868,3135900.3511264585,4246800.327865072,45,9,1,80.0,36223,5938,30285,0.20166711481581068,0.10537043601559726,9,1644.5547899773226,80.0,7,10,True,"OrderedDict([(2, 25), (3, 6), (4, 21), (0, 37), (6, 38), (1, 44), (5, 46)])","OrderedDict([((3, 2), [6, 25]), ((4, 2), [21, 25]), ((0, 2), [37, 25]), ((0, 3), [37, 25, 6]), ((0, 4), [37, 3, 21]), ((6, 0), [38, 24, 37]), ((6, 2), [38, 25]), ((6, 4), [38, 25, 21]), ((1, 3), [44, 25, 6]), ((5, 1), [46, 23, 44])])",OrderedDict(),OrderedDict(),563,410,0,0,0,166,244,0,0,153,0,925884.3467572326,674267.4638907022,1197.633150782775,Success,0,0,0,0,True,True,False,0,[],0.7282415630550622
