vn_count,success_count,inservice_count,total_revenue,total_cost,total_r2c,total_time_revenue,total_time_cost,num_running_pn_nodes,event_id,event_type,event_time,pn_available_resource,pn_node_available_resource,pn_edge_available_resource,pn_node_resource_utilization,pn_edge_resource_utilization,vn_id,lifetime,arrival_time,vn_num_nodes,vn_num_egdes,result,node_slots,edge_paths,node_slots_info,edge_paths_info,vn_cost,vn_revenue,vn_demand,vn_node_demand,vn_edge_demand,vn_node_revenue,vn_edge_revenue,vn_node_cost,vn_edge_cost,vn_path_cost,vn_r2c_ratio,vn_time_cost,vn_time_revenue,vn_time_rc_ratio,description,violation,current_violation,total_place_violation,total_route_violation,place_result,route_result,early_rejection,revoke_times,selected_actions,vn_rc_ratio
1,1,1,70,70,1.0,46397.54023865072,46397.54023865072,2,0,1,10.0,45178,7719,37459,0.0052835051546391565,0.0007735808792146415,0,662.822003409296,10.0,2,1,True,"OrderedDict([(0, 80), (1, 0)])","OrderedDict([((1, 0), [0, 80])])",OrderedDict(),OrderedDict(),70,70,0,0,0,41,29,0,0,0,0,46397.54023865072,46397.54023865072,662.822003409296,Success,0,0,0,0,True,True,False,0,[],1.0
2,2,2,736,949,0.7755532139093783,49399.40115532947,50359.45577282583,10,1,1,24.0,44299,7492,36807,0.03453608247422679,0.01816581306017928,1,4.50729867369182,24.0,10,18,True,"OrderedDict([(2, 80), (8, 0), (1, 14), (6, 16), (3, 18), (9, 20), (7, 27), (5, 28), (0, 34), (4, 38)])","OrderedDict([((8, 2), [0, 80]), ((1, 2), [14, 80]), ((6, 1), [16, 17, 14]), ((6, 2), [16, 80]), ((3, 2), [18, 80]), ((3, 6), [18, 16]), ((9, 2), [20, 80]), ((9, 3), [20, 16, 18]), ((9, 8), [20, 27, 0]), ((7, 2), [27, 80]), ((5, 3), [28, 54, 18]), ((5, 6), [28, 16]), ((0, 1), [34, 50, 14]), ((0, 5), [34, 16, 28]), ((0, 6), [34, 16]), ((0, 8), [34, 62, 0]), ((4, 7), [38, 44, 27]), ((4, 8), [38, 42, 0])])",OrderedDict(),OrderedDict(),879,666,0,0,0,227,439,0,0,213,0,3961.9155341751098,3001.8609166787523,3.4150863670975564,Success,0,0,0,0,True,True,False,0,[],0.757679180887372
2,2,1,736,949,0.7755532139093783,49399.40115532947,50359.45577282583,10,2,0,28.50729867369182,45178,7719,37459,0.0052835051546391565,0.0007735808792146415,1,4.50729867369182,24.0,10,18,False,OrderedDict(),OrderedDict(),OrderedDict(),OrderedDict(),0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,Leave Event,0,0,0,0,True,True,False,0,[],
3,3,2,1037,1295,0.8007722007722008,500424.5758542061,568813.6433004382,10,3,1,37.0,44832,7564,37268,0.025257731958762908,0.005868544600938996,2,1498.422507305238,37.0,7,9,True,"OrderedDict([(6, 80), (3, 0), (5, 14), (2, 16), (0, 18), (1, 20), (4, 27)])","OrderedDict([((3, 6), [0, 80]), ((5, 6), [14, 80]), ((2, 6), [16, 80]), ((0, 6), [18, 80]), ((1, 2), [20, 16]), ((1, 5), [20, 80, 14]), ((1, 6), [20, 80]), ((4, 0), [27, 16, 18]), ((4, 5), [27, 50, 14])])",OrderedDict(),OrderedDict(),346,301,0,0,0,155,146,0,0,45,0,518454.1875276124,451025.1746988766,1303.5409673377937,Success,0,0,0,0,True,True,False,0,[],0.869942196531792
4,4,3,1520,1979,0.7680646791308742,1157273.0889798296,1499009.0531926253,18,4,1,44.0,44148,7384,36764,0.04845360824742273,0.01931284677763556,3,1359.9348097838993,44.0,8,13,True,"OrderedDict([(1, 67), (4, 12), (7, 13), (3, 15), (0, 24), (5, 31), (6, 36), (2, 42)])","OrderedDict([((4, 1), [12, 67]), ((7, 1), [13, 67]), ((3, 1), [15, 67]), ((3, 4), [15, 54, 12]), ((3, 7), [15, 57, 13]), ((0, 1), [24, 67]), ((5, 1), [31, 67]), ((5, 3), [31, 67, 15]), ((6, 0), [36, 37, 24]), ((6, 4), [36, 37, 12]), ((6, 7), [36, 57, 13]), ((2, 5), [42, 63, 31]), ((2, 6), [42, 67, 36])])",OrderedDict(),OrderedDict(),684,483,0,0,0,180,303,0,0,201,0,930195.4098921871,656848.5131256233,960.3048437509112,Success,0,0,0,0,True,True,False,0,[],0.706140350877193
5,5,4,2402,3138,0.7654557042702358,1230804.8148377524,1595634.076173728,26,5,1,53.0,42989,7122,35867,0.08221649484536087,0.04324050362782761,4,83.36930369379013,53.0,10,25,True,"OrderedDict([(3, 72), (0, 4), (6, 23), (1, 34), (8, 45), (2, 49), (9, 50), (7, 58), (5, 59), (4, 80)])","OrderedDict([((0, 3), [4, 72]), ((6, 0), [23, 49, 4]), ((6, 3), [23, 72]), ((1, 0), [34, 72, 4]), ((1, 3), [34, 72]), ((1, 6), [34, 23]), ((8, 0), [45, 4]), ((8, 3), [45, 72]), ((2, 1), [49, 72, 34]), ((2, 3), [49, 72]), ((2, 8), [49, 4, 45]), ((9, 2), [50, 72, 49]), ((9, 3), [50, 72]), ((9, 6), [50, 34, 23]), ((7, 3), [58, 72]), ((7, 8), [58, 72, 45]), ((5, 3), [59, 72]), ((5, 6), [59, 55, 23]), ((5, 7), [59, 58]), ((5, 8), [59, 72, 45]), ((4, 0), [80, 44, 4]), ((4, 1), [80, 34]), ((4, 2), [80, 51, 49]), ((4, 5), [80, 14, 59]), ((4, 9), [80, 14, 50])])",OrderedDict(),OrderedDict(),1159,882,0,0,0,262,620,0,0,277,0,96625.02298110277,73531.7258579229,63.44411204307411,Success,0,0,0,0,True,True,False,0,[],0.7610008628127696
6,6,5,2573,3309,0.7775763070414022,1249611.4836146866,1614440.7449506624,28,6,1,64.0,42818,7035,35783,0.09342783505154639,0.045481220657277,5,109.9805191633589,64.0,3,2,True,"OrderedDict([(2, 29), (0, 9), (1, 13)])","OrderedDict([((0, 2), [9, 29]), ((1, 2), [13, 29])])",OrderedDict(),OrderedDict(),171,171,0,0,0,87,84,0,0,0,0,18806.668776934373,18806.668776934373,109.9805191633589,Success,0,0,0,0,True,True,False,0,[],1.0
7,7,6,3398,4381,0.775622004108651,2088951.5325333998,2705074.1176062506,35,7,1,77.0,41746,6787,34959,0.12538659793814433,0.06746158770806654,6,1017.3818774772278,77.0,9,17,True,"OrderedDict([(4, 82), (1, 2), (5, 33), (2, 36), (8, 53), (7, 57), (3, 67), (0, 70), (6, 71)])","OrderedDict([((1, 4), [2, 82]), ((5, 1), [33, 2]), ((5, 4), [33, 82]), ((2, 4), [36, 82]), ((2, 5), [36, 9, 33]), ((8, 1), [53, 13, 2]), ((8, 2), [53, 7, 36]), ((8, 4), [53, 82]), ((8, 5), [53, 4, 33]), ((7, 4), [57, 82]), ((3, 1), [67, 13, 2]), ((3, 2), [67, 36]), ((3, 7), [67, 76, 57]), ((0, 1), [70, 39, 2]), ((0, 3), [70, 82, 67]), ((6, 3), [71, 67]), ((6, 8), [71, 82, 53])])",OrderedDict(),OrderedDict(),1072,825,0,0,0,248,577,0,0,247,0,1090633.3726555882,839340.048918713,782.9664635435755,Success,0,0,0,0,True,True,False,0,[],0.769589552238806
8,8,7,3996,5221,0.76537061865543,2235223.6691104523,2910539.9950723443,42,8,1,86.0,40906,6584,34322,0.15154639175257734,0.08445369184805807,7,244.60223507868324,86.0,9,17,True,"OrderedDict([(6, 96), (3, 10), (1, 12), (8, 19), (4, 30), (7, 50), (5, 52), (2, 55), (0, 64)])","OrderedDict([((3, 6), [10, 96]), ((1, 3), [12, 57, 10]), ((1, 6), [12, 96]), ((8, 6), [19, 96]), ((4, 1), [30, 18, 12]), ((4, 6), [30, 96]), ((7, 1), [50, 34, 12]), ((7, 8), [50, 96, 19]), ((5, 3), [52, 24, 10]), ((5, 7), [52, 68, 50]), ((2, 1), [55, 96, 12]), ((2, 4), [55, 23, 30]), ((0, 2), [64, 55]), ((0, 3), [64, 78, 10]), ((0, 4), [64, 87, 30]), ((0, 7), [64, 34, 50]), ((0, 8), [64, 87, 19])])",OrderedDict(),OrderedDict(),840,598,0,0,0,203,395,0,0,242,0,205465.87746609392,146272.1365770526,174.1334959250626,Success,0,0,0,0,True,True,False,0,[],0.7119047619047619
9,9,8,4142,5367,0.7717533072479971,2344468.2714571077,3019784.5974189998,45,9,1,100.0,40760,6519,34241,0.15992268041237112,0.08661438326931281,8,748.2507010044889,100.0,3,2,True,"OrderedDict([(1, 47), (2, 6), (0, 8)])","OrderedDict([((2, 1), [6, 47]), ((0, 1), [8, 47])])",OrderedDict(),OrderedDict(),146,146,0,0,0,65,81,0,0,0,0,109244.60234665537,109244.60234665537,748.2507010044889,Success,0,0,0,0,True,True,False,0,[],1.0
