vn_count,success_count,inservice_count,total_revenue,total_cost,total_r2c,total_time_revenue,total_time_cost,num_running_pn_nodes,event_id,event_type,event_time,pn_available_resource,pn_node_available_resource,pn_edge_available_resource,pn_node_resource_utilization,pn_edge_resource_utilization,vn_id,lifetime,arrival_time,vn_num_nodes,vn_num_egdes,result,node_slots,edge_paths,node_slots_info,edge_paths_info,vn_cost,vn_revenue,vn_demand,vn_node_demand,vn_edge_demand,vn_node_revenue,vn_edge_revenue,vn_node_cost,vn_edge_cost,vn_path_cost,vn_r2c_ratio,vn_time_cost,vn_time_revenue,vn_time_rc_ratio,description,violation,current_violation,total_place_violation,total_route_violation,place_result,route_result,early_rejection,revoke_times,selected_actions,vn_rc_ratio
1,1,1,901,1387,0.6496034607065609,404094.460184127,622063.2811047549,10,0,1,13.0,37839,7299,30540,0.027059450813116448,0.037321901399571256,0,448.4955162975882,13.0,10,29,True,"OrderedDict([(0, 37), (7, 11), (2, 43), (5, 63), (6, 94), (9, 0), (3, 25), (1, 45), (8, 77), (4, 82)])","OrderedDict([((7, 0), [11, 37]), ((2, 0), [43, 37]), ((2, 7), [43, 37, 11]), ((5, 0), [63, 37]), ((5, 7), [63, 5, 11]), ((6, 0), [94, 37]), ((6, 7), [94, 52, 11]), ((9, 0), [0, 11, 37]), ((9, 5), [0, 7, 63]), ((9, 7), [0, 11]), ((3, 0), [25, 11, 37]), ((3, 5), [25, 63]), ((3, 6), [25, 5, 94]), ((3, 7), [25, 11]), ((1, 3), [45, 69, 25]), ((1, 7), [45, 11]), ((1, 9), [45, 11, 0]), ((8, 1), [77, 45]), ((8, 2), [77, 43]), ((8, 3), [77, 11, 25]), ((8, 6), [77, 43, 94]), ((8, 7), [77, 11]), ((8, 9), [77, 31, 0]), ((4, 1), [82, 11, 45]), ((4, 3), [82, 4, 25]), ((4, 5), [82, 10, 67, 63]), ((4, 6), [82, 85, 94]), ((4, 8), [82, 11, 77]), ((4, 9), [82, 85, 0])])",OrderedDict(),OrderedDict(),1387,901,0,0,0,203,698,0,0,486,0,622063.2811047549,404094.460184127,291.3442394982891,Success,0,0,0,0,True,True,False,0,[],0.6496034607065609
2,2,2,1623,2354,0.68946474086661,476798.67896844604,719438.5990610382,19,1,1,21.0,36872,7055,29817,0.059584110903759036,0.060112217879208174,1,100.69836396720093,21.0,10,22,True,"OrderedDict([(5, 96), (4, 1), (2, 41), (0, 47), (3, 52), (7, 18), (6, 22), (9, 27), (8, 59), (1, 63)])","OrderedDict([((4, 5), [1, 96]), ((2, 4), [41, 22, 1]), ((2, 5), [41, 96]), ((0, 2), [47, 96, 41]), ((0, 4), [47, 96, 1]), ((0, 5), [47, 96]), ((3, 2), [52, 41]), ((3, 4), [52, 1]), ((7, 2), [18, 13, 41]), ((7, 4), [18, 1]), ((6, 2), [22, 41]), ((6, 3), [22, 1, 52]), ((6, 4), [22, 1]), ((9, 2), [27, 98, 41]), ((9, 4), [27, 1]), ((9, 6), [27, 1, 22]), ((8, 0), [59, 1, 96, 47]), ((8, 2), [59, 69, 22, 41]), ((8, 6), [59, 69, 22]), ((1, 6), [63, 22]), ((1, 8), [63, 1, 59]), ((1, 9), [63, 1, 27])])",OrderedDict(),OrderedDict(),967,722,0,0,0,244,478,0,0,245,0,97375.3179562833,72704.21878431908,75.18533483383565,Success,0,0,0,0,True,True,False,0,[],0.7466390899689762
3,3,3,2515,3762,0.6685273790536949,1084810.1691160235,1679169.7404599048,29,2,1,30.0,35464,6809,28655,0.09237536656891498,0.09674063800277388,2,681.6272311071496,30.0,10,27,True,"OrderedDict([(5, 64), (9, 4), (8, 5), (2, 9), (7, 10), (4, 33), (6, 51), (3, 69), (1, 79), (0, 6)])","OrderedDict([((9, 5), [4, 64]), ((8, 5), [5, 64]), ((2, 5), [9, 64]), ((2, 8), [9, 5]), ((7, 5), [10, 64]), ((7, 8), [10, 2, 5]), ((7, 9), [10, 64, 4]), ((4, 2), [33, 8, 9]), ((4, 5), [33, 64]), ((4, 8), [33, 8, 5]), ((6, 5), [51, 64]), ((6, 7), [51, 64, 10]), ((6, 9), [51, 64, 4]), ((3, 2), [69, 20, 9]), ((3, 6), [69, 8, 51]), ((3, 7), [69, 76, 10]), ((3, 9), [69, 64, 4]), ((1, 2), [79, 5, 9]), ((1, 7), [79, 64, 10]), ((1, 8), [79, 5]), ((1, 9), [79, 64, 4]), ((0, 1), [6, 99, 79]), ((0, 3), [6, 34, 69]), ((0, 4), [6, 71, 56, 33]), ((0, 6), [6, 4, 64, 51]), ((0, 7), [6, 4, 82, 10]), ((0, 8), [6, 23, 63, 5])])",OrderedDict(),OrderedDict(),1408,892,0,0,0,246,646,0,0,516,0,959731.1413988665,608011.4901475774,431.826342434359,Success,0,0,0,0,True,True,False,0,[],0.6335227272727273
4,4,4,3116,4761,0.6544843520268852,1157976.169658384,1800788.4335411333,37,3,1,42.0,34465,6594,27871,0.12103439082911227,0.12145378892951708,3,121.74043351474317,42.0,9,17,True,"OrderedDict([(0, 13), (4, 17), (3, 52), (6, 86), (2, 81), (5, 12), (7, 28), (8, 67), (1, 72)])","OrderedDict([((4, 0), [17, 13]), ((3, 0), [52, 41, 13]), ((6, 0), [86, 0, 13]), ((6, 4), [86, 41, 17]), ((2, 0), [81, 13]), ((2, 3), [81, 6, 77, 52]), ((2, 6), [81, 6, 99, 86]), ((5, 3), [12, 17, 41, 52]), ((5, 4), [12, 17]), ((7, 2), [28, 17, 13, 81]), ((7, 3), [28, 47, 51, 52]), ((8, 2), [67, 0, 13, 81]), ((8, 7), [67, 17, 28]), ((1, 3), [72, 1, 52]), ((1, 6), [72, 67, 86]), ((1, 7), [72, 17, 28]), ((1, 8), [72, 67])])",OrderedDict(),OrderedDict(),999,601,0,0,0,215,386,0,0,398,0,121618.69308122843,73166.00054236065,73.23923978214279,Success,0,0,0,0,True,True,False,0,[],0.6016016016016016
5,5,5,3813,5913,0.6448503297818367,1308166.9070961194,2049023.3396075193,45,4,1,51.0,33313,6413,26900,0.14516129032258063,0.15206153070230743,4,215.4816892937379,51.0,10,23,True,"OrderedDict([(1, 98), (4, 26), (3, 27), (6, 35), (0, 48), (5, 67), (7, 7), (2, 8), (8, 24), (9, 32)])","OrderedDict([((4, 1), [26, 98]), ((3, 1), [27, 98]), ((3, 4), [27, 7, 26]), ((6, 1), [35, 98]), ((0, 1), [48, 98]), ((0, 3), [48, 74, 27]), ((0, 6), [48, 21, 35]), ((5, 1), [67, 98]), ((5, 6), [67, 77, 35]), ((7, 0), [7, 74, 48]), ((7, 4), [7, 26]), ((7, 5), [7, 0, 67]), ((2, 0), [8, 15, 74, 48]), ((2, 4), [8, 5, 26]), ((2, 6), [8, 5, 79, 35]), ((2, 7), [8, 27, 7]), ((8, 0), [24, 22, 17, 48]), ((8, 3), [24, 27]), ((8, 5), [24, 22, 63, 67]), ((8, 7), [24, 27, 7]), ((9, 3), [32, 27]), ((9, 4), [32, 15, 75, 26]), ((9, 7), [32, 27, 7])])",OrderedDict(),OrderedDict(),1152,697,0,0,0,181,516,0,0,455,0,248234.90606638606,150190.7374377353,130.3739040258119,Success,0,0,0,0,True,True,False,0,[],0.6050347222222222
6,6,6,3974,6097,0.651795965228801,1379749.9096379252,2130832.485369583,47,5,1,68.0,33129,6309,26820,0.15902426019728078,0.154583280796873,5,444.6149226199118,68.0,4,3,True,"OrderedDict([(3, 87), (1, 11), (2, 22), (0, 40)])","OrderedDict([((1, 3), [11, 87]), ((2, 3), [22, 87]), ((0, 1), [40, 87, 11])])",OrderedDict(),OrderedDict(),184,161,0,0,0,104,57,0,0,23,0,81809.14576206377,71583.00254180579,389.0380572924228,Success,0,0,0,0,True,True,False,0,[],0.875
7,7,7,4140,6293,0.657873828062927,1387946.4419428876,2140510.3186935144,50,6,1,76.0,32933,6207,26726,0.17262063449746734,0.1575463371579876,6,49.376700632303304,76.0,4,3,True,"OrderedDict([(2, 68), (0, 14), (1, 16), (3, 27)])","OrderedDict([((0, 2), [14, 68]), ((1, 0), [16, 59, 14]), ((3, 0), [27, 68, 14])])",OrderedDict(),OrderedDict(),196,166,0,0,0,102,64,0,0,30,0,9677.833323931447,8196.53230496235,41.81904237225688,Success,0,0,0,0,True,True,False,0,[],0.8469387755102041
8,8,8,4182,6335,0.6601420678768745,1411978.0959224615,2164541.9726730883,51,7,1,91.0,32891,6190,26701,0.1748866968808318,0.1583343840625394,7,572.1822376088993,91.0,2,1,True,"OrderedDict([(0, 16), (1, 2)])","OrderedDict([((1, 0), [2, 16])])",OrderedDict(),OrderedDict(),42,42,0,0,0,17,25,0,0,0,0,24031.65397957377,24031.65397957377,572.1822376088993,Success,0,0,0,0,True,True,False,0,[],1.0
9,9,9,4331,6523,0.6639583013950636,1705542.2611486034,2534945.0804752004,53,8,1,100.0,32703,6104,26599,0.1863503065849107,0.16154961543311053,8,1970.2292968197448,100.0,4,3,True,"OrderedDict([(3, 84), (2, 31), (0, 40), (1, 69)])","OrderedDict([((2, 3), [31, 84]), ((0, 2), [40, 84, 31]), ((1, 2), [69, 32, 31])])",OrderedDict(),OrderedDict(),188,149,0,0,0,86,63,0,0,39,0,370403.107802112,293564.165226142,1561.5115171603295,Success,0,0,0,0,True,True,False,0,[],0.7925531914893617
10,10,10,4907,7424,0.6609644396551724,2430631.916829662,3669156.503684634,58,9,1,107.0,31802,5929,25873,0.20967741935483875,0.1844344975412937,9,1258.8362077796153,107.0,7,15,True,"OrderedDict([(0, 55), (5, 7), (2, 15), (4, 74), (1, 23), (6, 62), (3, 31)])","OrderedDict([((5, 0), [7, 55]), ((2, 0), [15, 55]), ((2, 5), [15, 55, 7]), ((4, 0), [74, 15, 55]), ((4, 5), [74, 7]), ((1, 2), [23, 15]), ((1, 4), [23, 15, 74]), ((1, 5), [23, 63, 7]), ((6, 1), [62, 91, 23]), ((6, 5), [62, 66, 74, 7]), ((3, 1), [31, 34, 23]), ((3, 2), [31, 32, 15]), ((3, 4), [31, 0, 74]), ((3, 5), [31, 63, 7]), ((3, 6), [31, 42, 62])])",OrderedDict(),OrderedDict(),901,576,0,0,0,175,401,0,0,325,0,1134211.4232094334,725089.6556810584,804.7609940966242,Success,0,0,0,0,True,True,False,0,[],0.6392896781354052
