vn_count,success_count,inservice_count,total_revenue,total_cost,total_r2c,total_time_revenue,total_time_cost,num_running_pn_nodes,event_id,event_type,event_time,pn_available_resource,pn_node_available_resource,pn_edge_available_resource,pn_node_resource_utilization,pn_edge_resource_utilization,vn_id,lifetime,arrival_time,vn_num_nodes,vn_num_egdes,result,node_slots,edge_paths,node_slots_info,edge_paths_info,vn_cost,vn_revenue,vn_demand,vn_node_demand,vn_edge_demand,vn_node_revenue,vn_edge_revenue,vn_node_cost,vn_edge_cost,vn_path_cost,vn_r2c_ratio,vn_time_cost,vn_time_revenue,vn_time_rc_ratio,description,violation,current_violation,total_place_violation,total_route_violation,place_result,route_result,early_rejection,revoke_times,selected_actions,vn_rc_ratio
1,1,1,688,1032,0.6666666666666666,1010627.6668499312,1515941.5002748969,9,0,1,11.0,41880,7170,34710,0.03317152103559873,0.02214334009465857,0,1468.9355622818769,11.0,9,22,True,"OrderedDict([(8, 99), (7, 8), (4, 18), (3, 29), (2, 32), (6, 42), (5, 47), (1, 63), (0, 7)])","OrderedDict([((7, 8), [8, 99]), ((4, 8), [18, 99]), ((3, 4), [29, 59, 18]), ((3, 7), [29, 99, 8]), ((3, 8), [29, 99]), ((2, 4), [32, 99, 18]), ((2, 8), [32, 99]), ((6, 2), [42, 99, 32]), ((6, 3), [42, 29]), ((6, 4), [42, 59, 18]), ((5, 3), [47, 26, 29]), ((5, 4), [47, 99, 18]), ((5, 6), [47, 44, 42]), ((5, 7), [47, 44, 8]), ((1, 3), [63, 59, 29]), ((1, 4), [63, 59, 18]), ((1, 6), [63, 99, 42]), ((0, 1), [7, 63]), ((0, 2), [7, 0, 68, 32]), ((0, 3), [7, 0, 38, 29]), ((0, 6), [7, 37, 42]), ((0, 7), [7, 8])])",OrderedDict(),OrderedDict(),1032,688,0,0,0,246,442,0,0,344,0,1515941.5002748969,1010627.6668499312,979.2903748545846,Success,0,0,0,0,True,True,False,0,[],0.6666666666666666
2,2,2,813,1213,0.6702390766694146,1045891.1069831352,1567002.9615877762,9,1,1,26.0,41699,7101,34598,0.04247572815533984,0.02529862519720527,1,282.1075210656315,26.0,3,2,True,"OrderedDict([(2, 8), (0, 32), (1, 47)])","OrderedDict([((0, 2), [32, 68, 8]), ((1, 0), [47, 26, 32])])",OrderedDict(),OrderedDict(),181,125,0,0,0,69,56,0,0,56,0,51061.4613128793,35263.440133203934,194.82563609504936,Success,0,0,0,0,True,True,False,0,[],0.6906077348066298
3,3,3,1419,2335,0.6077087794432549,1149108.8415822745,1758109.06426143,13,2,1,32.0,40577,6910,33667,0.06823085221143477,0.051526932612125265,2,170.32629471805154,32.0,7,16,True,"OrderedDict([(6, 42), (5, 47), (4, 63), (3, 44), (2, 61), (1, 62), (0, 68)])","OrderedDict([((5, 6), [47, 44, 42]), ((4, 6), [63, 59, 42]), ((3, 4), [44, 20, 16, 63]), ((3, 6), [44, 42]), ((2, 3), [61, 8, 44]), ((2, 4), [61, 16, 63]), ((2, 5), [61, 64, 26, 47]), ((2, 6), [61, 64, 5, 42]), ((1, 2), [62, 8, 61]), ((1, 3), [62, 2, 44]), ((1, 4), [62, 0, 17, 63]), ((1, 5), [62, 4, 47]), ((0, 1), [68, 8, 62]), ((0, 2), [68, 79, 61]), ((0, 3), [68, 97, 44]), ((0, 4), [68, 0, 7, 63])])",OrderedDict(),OrderedDict(),1122,606,0,0,0,191,415,0,0,516,0,191106.10267365383,103217.73459913924,91.99441586376047,Success,0,0,0,0,True,True,False,0,[],0.5401069518716578
4,4,4,1910,3262,0.5855303494788473,1224908.546587521,1901217.6722855917,18,3,1,42.0,39650,6736,32914,0.09169363538295572,0.07274059048906922,3,154.378217933292,42.0,8,13,True,"OrderedDict([(7, 47), (6, 63), (5, 67), (3, 7), (0, 66), (4, 91), (2, 40), (1, 73)])","OrderedDict([((6, 7), [63, 99, 47]), ((5, 6), [67, 43, 63]), ((5, 7), [67, 99, 47]), ((3, 5), [7, 20, 81, 67]), ((3, 6), [7, 63]), ((3, 7), [7, 3, 47]), ((0, 6), [66, 64, 63]), ((0, 7), [66, 27, 65, 47]), ((4, 3), [91, 8, 7]), ((4, 6), [91, 36, 59, 63]), ((2, 6), [40, 3, 80, 63]), ((1, 3), [73, 37, 7]), ((1, 6), [73, 16, 63])])",OrderedDict(),OrderedDict(),927,491,0,0,0,174,317,0,0,436,0,143108.6080241617,75799.70500524637,81.76882956337258,Success,0,0,0,0,True,True,False,0,[],0.5296655879180151
5,5,5,1985,3337,0.5948456697632604,1294385.2586043314,1970694.3843024021,18,4,1,54.0,39575,6684,32891,0.09870550161812297,0.07338855082262785,4,926.3561602241384,54.0,2,1,True,"OrderedDict([(1, 99), (0, 67)])","OrderedDict([((0, 1), [67, 99])])",OrderedDict(),OrderedDict(),75,75,0,0,0,52,23,0,0,0,0,69476.71201681039,69476.71201681039,926.3561602241384,Success,0,0,0,0,True,True,False,0,[],1.0
6,6,6,2829,4794,0.5901126408010012,1431880.6199609053,2208053.0827580043,23,5,1,66.0,38118,6408,31710,0.13592233009708743,0.10665990534144687,5,162.90919592011133,66.0,10,21,True,"OrderedDict([(9, 67), (8, 89), (7, 66), (5, 68), (3, 91), (2, 20), (1, 31), (0, 59), (6, 73), (4, 77)])","OrderedDict([((8, 9), [89, 40, 67]), ((7, 8), [66, 8, 89]), ((7, 9), [66, 11, 67]), ((5, 7), [68, 83, 66]), ((5, 9), [68, 40, 67]), ((3, 7), [91, 8, 66]), ((3, 9), [91, 23, 67]), ((2, 7), [20, 75, 66]), ((2, 9), [20, 75, 67]), ((1, 3), [31, 38, 91]), ((1, 7), [31, 56, 66]), ((1, 9), [31, 43, 67]), ((0, 2), [59, 18, 20]), ((0, 3), [59, 36, 91]), ((0, 5), [59, 29, 6, 68]), ((0, 8), [59, 27, 89]), ((0, 9), [59, 75, 67]), ((6, 0), [73, 36, 59]), ((6, 7), [73, 11, 66]), ((4, 0), [77, 42, 59]), ((4, 6), [77, 18, 73])])",OrderedDict(),OrderedDict(),1457,844,0,0,0,276,568,0,0,613,0,237358.69845560222,137495.36135657397,94.3688135597625,Success,0,0,0,0,True,True,False,0,[],0.5792724776938916
7,7,7,3224,5511,0.5850117945926329,1494993.2565272902,2322614.501537999,23,6,1,77.0,37401,6278,31123,0.15345199568500545,0.12319697994140189,6,159.7788267503417,77.0,8,11,True,"OrderedDict([(7, 8), (6, 29), (4, 42), (2, 62), (0, 66), (5, 31), (3, 40), (1, 77)])","OrderedDict([((6, 7), [29, 99, 8]), ((4, 6), [42, 29]), ((4, 7), [42, 44, 8]), ((2, 4), [62, 5, 42]), ((0, 2), [66, 62]), ((0, 4), [66, 2, 37, 42]), ((5, 2), [31, 19, 4, 62]), ((3, 0), [40, 24, 98, 66]), ((1, 0), [77, 57, 66]), ((1, 3), [77, 18, 40]), ((1, 5), [77, 25, 31])])",OrderedDict(),OrderedDict(),717,395,0,0,0,130,265,0,0,322,0,114561.41877999499,63112.63656638497,88.02320302145742,Success,0,0,0,0,True,True,False,0,[],0.5509065550906556
8,8,8,3314,5625,0.5891555555555555,1577600.112842073,2427249.8528700573,23,7,1,93.0,37287,6212,31075,0.1623516720604099,0.12454924498535047,7,917.8539590531406,93.0,2,1,True,"OrderedDict([(1, 44), (0, 62)])","OrderedDict([((0, 1), [62, 2, 44])])",OrderedDict(),OrderedDict(),114,90,0,0,0,66,24,0,0,24,0,104635.35133205802,82606.85631478265,724.6215466209004,Success,0,0,0,0,True,True,False,0,[],0.7894736842105263
9,9,9,3509,5887,0.5960591133004927,1635972.213691474,2505678.0088830986,24,8,1,101.0,37025,6084,30941,0.17961165048543692,0.12832431823304036,8,299.3441069200045,101.0,3,2,True,"OrderedDict([(2, 89), (1, 66), (0, 88)])","OrderedDict([((1, 2), [66, 90, 89]), ((0, 1), [88, 8, 66])])",OrderedDict(),OrderedDict(),262,195,0,0,0,128,67,0,0,67,0,78428.15601304118,58372.10084940088,222.79427805114838,Success,0,0,0,0,True,True,False,0,[],0.7442748091603053
10,10,10,3543,5929,0.5975712599089222,1661216.0354544208,2536861.5534137976,24,9,1,106.0,36983,6058,30925,0.18311758360302055,0.1287750732476899,9,742.4653459690253,106.0,2,1,True,"OrderedDict([(1, 18), (0, 67)])","OrderedDict([((0, 1), [67, 40, 18])])",OrderedDict(),OrderedDict(),42,34,0,0,0,26,8,0,0,8,0,31183.544530699062,25243.82176294686,601.0433753082585,Success,0,0,0,0,True,True,False,0,[],0.8095238095238095
11,11,11,3751,6238,0.6013145238858608,2031771.4014723804,3087350.053892401,25,10,1,113.0,36674,5926,30748,0.20091693635382957,0.13376155059725037,10,1781.516182778651,113.0,5,5,True,"OrderedDict([(4, 18), (2, 29), (0, 91), (3, 20), (1, 83)])","OrderedDict([((2, 4), [29, 59, 18]), ((0, 2), [91, 38, 29]), ((0, 4), [91, 23, 83, 18]), ((3, 0), [20, 7, 8, 91]), ((1, 3), [83, 18, 20])])",OrderedDict(),OrderedDict(),309,208,0,0,0,132,76,0,0,101,0,550488.5004786032,370555.36601795943,1199.2083042652407,Success,0,0,0,0,True,True,False,0,[],0.6731391585760518
12,12,12,4023,6626,0.6071536371868397,2392379.384361545,3601746.7353666504,29,11,1,120.0,36286,5775,30511,0.22127831715210355,0.14043835925174664,11,1325.7646429748697,120.0,5,6,True,"OrderedDict([(4, 77), (3, 6), (1, 9), (0, 21), (2, 26)])","OrderedDict([((3, 4), [6, 77]), ((1, 4), [9, 43, 77]), ((0, 1), [21, 29, 9]), ((0, 3), [21, 29, 6]), ((0, 4), [21, 22, 77]), ((2, 0), [26, 29, 21])])",OrderedDict(),OrderedDict(),388,272,0,0,0,151,121,0,0,116,0,514396.68147424946,360607.9828891646,929.4020177555788,Success,0,0,0,0,True,True,False,0,[],0.7010309278350515
13,13,13,4211,6976,0.6036410550458715,2398696.5725780423,3613507.458110129,29,12,1,130.0,35936,5693,30243,0.23233549083063643,0.1479885057471264,12,33.602064981367015,130.0,4,4,True,"OrderedDict([(3, 68), (2, 91), (1, 31), (0, 26)])","OrderedDict([((2, 3), [91, 82, 68]), ((1, 3), [31, 18, 40, 68]), ((0, 1), [26, 71, 38, 31]), ((0, 2), [26, 87, 91])])",OrderedDict(),OrderedDict(),350,188,0,0,0,82,106,0,0,162,0,11760.722743478455,6317.188216496998,18.049109189991427,Success,0,0,0,0,True,True,False,0,[],0.5371428571428571
14,14,14,4887,8014,0.6098078362864986,2937291.6002661334,4440521.7166016055,34,13,1,138.0,34898,5438,29460,0.2667206040992449,0.1700473292765382,13,796.7382066391878,138.0,9,17,True,"OrderedDict([(8, 31), (7, 73), (2, 77), (1, 6), (6, 38), (5, 56), (4, 93), (3, 5), (0, 1)])","OrderedDict([((7, 8), [73, 18, 31]), ((2, 8), [77, 18, 31]), ((1, 2), [6, 77]), ((1, 7), [6, 23, 36, 73]), ((1, 8), [6, 90, 31]), ((6, 2), [38, 14, 77]), ((5, 2), [56, 14, 77]), ((5, 6), [56, 38]), ((4, 1), [93, 33, 6]), ((4, 2), [93, 72, 77]), ((4, 6), [93, 31, 38]), ((3, 1), [5, 12, 17, 6]), ((3, 4), [5, 25, 93]), ((3, 5), [5, 75, 56]), ((3, 6), [5, 46, 38]), ((0, 1), [1, 6]), ((0, 7), [1, 15, 80, 73])])",OrderedDict(),OrderedDict(),1038,676,0,0,0,255,421,0,0,362,0,827014.2584914769,538595.0276880909,518.8776760000876,Success,0,0,0,0,True,True,False,0,[],0.651252408477842
15,15,15,4938,8089,0.6104586475460502,2960209.5789650865,4474224.626453008,34,14,1,147.0,34823,5411,29412,0.270361380798274,0.1713995943204868,14,449.3721313520222,147.0,2,1,True,"OrderedDict([(1, 6), (0, 9)])","OrderedDict([((0, 1), [9, 58, 6])])",OrderedDict(),OrderedDict(),75,51,0,0,0,27,24,0,0,24,0,33702.909851401666,22917.978698953135,305.5730493193751,Success,0,0,0,0,True,True,False,0,[],0.68
16,16,16,5265,8609,0.6115692879544663,3150829.832671294,4777351.635404775,37,15,1,154.0,34303,5277,29026,0.2884304207119741,0.18227405904890692,15,582.9365556764755,154.0,6,9,True,"OrderedDict([(5, 21), (4, 26), (3, 81), (2, 54), (1, 5), (0, 30)])","OrderedDict([((4, 5), [26, 29, 21]), ((3, 4), [81, 29, 26]), ((3, 5), [81, 29, 21]), ((2, 3), [54, 10, 81]), ((2, 4), [54, 32, 26]), ((1, 4), [5, 64, 26]), ((0, 2), [30, 10, 54]), ((0, 3), [30, 4, 81]), ((0, 4), [30, 77, 26])])",OrderedDict(),OrderedDict(),520,327,0,0,0,134,193,0,0,193,0,303127.00895176723,190620.25370620747,366.5774109734759,Success,0,0,0,0,True,True,False,0,[],0.6288461538461538
16,16,15,5265,8609,0.6115692879544663,3150829.832671294,4777351.635404775,37,16,0,163.60206498136702,34653,5359,29294,0.27737324703344124,0.17472391255352715,12,33.602064981367015,130.0,4,4,False,OrderedDict(),OrderedDict(),OrderedDict(),OrderedDict(),0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,Leave Event,0,0,0,0,True,True,False,0,[],
17,17,16,5436,8983,0.6051430479795169,3412764.1309118336,5350237.176585838,37,17,1,166.0,34279,5314,28965,0.2834412081984897,0.18399256254225826,16,1531.7795218745,166.0,3,3,True,"OrderedDict([(2, 47), (1, 66), (0, 54)])","OrderedDict([((1, 2), [66, 41, 10, 47]), ((0, 1), [54, 50, 62, 66]), ((0, 2), [54, 3, 47])])",OrderedDict(),OrderedDict(),374,171,0,0,0,45,126,0,0,203,0,572885.541181063,261934.2982405395,700.359086204651,Success,0,0,0,0,True,True,False,0,[],0.4572192513368984
18,18,17,5616,9284,0.6049116760017234,3432249.1298046997,5382820.424734465,37,18,1,178.0,33978,5228,28750,0.2950377562028047,0.19004958305161146,17,108.24999384925698,178.0,4,3,True,"OrderedDict([(3, 21), (1, 38), (0, 93), (2, 5)])","OrderedDict([((1, 3), [38, 13, 21]), ((0, 3), [93, 28, 13, 21]), ((2, 0), [5, 25, 93])])",OrderedDict(),OrderedDict(),301,180,0,0,0,86,94,0,0,121,0,32583.24814862635,19484.998892866257,64.7342155909178,Success,0,0,0,0,True,True,False,0,[],0.5980066445182725
19,19,18,6226,10489,0.5935742206120698,4192901.6705942205,6885420.935638354,42,19,1,190.0,32773,5009,27764,0.32456850053937436,0.21782736082938925,18,1246.9713783434768,190.0,10,16,True,"OrderedDict([(9, 42), (8, 63), (6, 26), (4, 30), (2, 82), (1, 1), (7, 3), (5, 16), (3, 75), (0, 98)])","OrderedDict([((8, 9), [63, 59, 42]), ((6, 9), [26, 29, 42]), ((4, 9), [30, 42]), ((2, 6), [82, 87, 26]), ((2, 9), [82, 42]), ((1, 9), [1, 6, 77, 42]), ((7, 4), [3, 47, 10, 30]), ((5, 1), [16, 89, 1]), ((5, 2), [16, 46, 38, 82]), ((5, 6), [16, 71, 26]), ((5, 7), [16, 12, 70, 3]), ((3, 1), [75, 16, 89, 1]), ((3, 2), [75, 30, 87, 82]), ((3, 6), [75, 16, 71, 26]), ((0, 2), [98, 52, 82]), ((0, 5), [98, 36, 73, 16])])",OrderedDict(),OrderedDict(),1205,610,0,0,0,219,391,0,0,595,0,1502600.5109038895,760652.5407895208,631.2469218170297,Success,0,0,0,0,True,True,False,0,[],0.5062240663900415
19,19,17,6226,10489,0.5935742206120698,4192901.6705942205,6885420.935638354,42,20,0,196.378217933292,33700,5183,28517,0.3011057173678533,0.1966137029524453,3,154.378217933292,42.0,8,13,False,OrderedDict(),OrderedDict(),OrderedDict(),OrderedDict(),0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,Leave Event,0,0,0,0,True,True,False,0,[],
20,20,18,6325,10621,0.5955183127765747,4235292.499722882,6941942.041143236,42,21,1,197.0,33568,5117,28451,0.31000539374325786,0.19847306738787474,19,428.19019321880165,197.0,2,1,True,"OrderedDict([(1, 47), (0, 40)])","OrderedDict([((0, 1), [40, 1, 47])])",OrderedDict(),OrderedDict(),132,99,0,0,0,66,33,0,0,33,0,56521.105504881816,42390.82912866136,321.14264491410125,Success,0,0,0,0,True,True,False,0,[],0.75
20,20,17,6325,10621,0.5955183127765747,4235292.499722882,6941942.041143236,42,22,0,202.32629471805154,34690,5308,29382,0.28425026968716294,0.17224475997295474,2,170.32629471805154,32.0,7,16,False,OrderedDict(),OrderedDict(),OrderedDict(),OrderedDict(),0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,Leave Event,0,0,0,0,True,True,False,0,[],
21,21,18,6491,10889,0.5961061621820185,4332238.013737729,7098456.485456361,42,23,1,209.0,34422,5208,29214,0.2977346278317152,0.1769776876267748,20,584.0091205713635,209.0,4,4,True,"OrderedDict([(3, 63), (2, 67), (1, 7), (0, 61)])","OrderedDict([((2, 3), [67, 43, 63]), ((1, 3), [7, 63]), ((0, 1), [61, 8, 7]), ((0, 2), [61, 64, 43, 67])])",OrderedDict(),OrderedDict(),268,166,0,0,0,100,66,0,0,102,0,156514.44431312542,96945.51401484634,361.73699259271024,Success,0,0,0,0,True,True,False,0,[],0.6194029850746269
22,22,19,7174,12176,0.58919185282523,5047202.9302300215,8445689.058700256,44,24,1,224.0,33135,4941,28194,0.3337378640776699,0.20571331981068286,21,1046.8007562112623,224.0,9,21,True,"OrderedDict([(8, 61), (7, 68), (6, 91), (5, 40), (4, 73), (3, 5), (2, 30), (1, 45), (0, 65)])","OrderedDict([((7, 8), [68, 8, 61]), ((6, 7), [91, 8, 68]), ((6, 8), [91, 61]), ((5, 6), [40, 22, 23, 91]), ((5, 7), [40, 68]), ((4, 6), [73, 36, 91]), ((4, 7), [73, 38, 82, 68]), ((3, 4), [5, 46, 73]), ((3, 5), [5, 12, 22, 40]), ((3, 6), [5, 19, 87, 91]), ((2, 6), [30, 87, 91]), ((2, 7), [30, 4, 81, 68]), ((1, 2), [45, 97, 90, 30]), ((1, 3), [45, 97, 5]), ((1, 4), [45, 65, 38, 73]), ((1, 6), [45, 65, 38, 91]), ((1, 7), [45, 79, 68]), ((0, 1), [65, 45]), ((0, 2), [65, 44, 42, 30]), ((0, 5), [65, 3, 40]), ((0, 6), [65, 38, 91])])",OrderedDict(),OrderedDict(),1287,683,0,0,0,267,416,0,0,604,0,1347232.5732438946,714964.9164922922,555.5282956428067,Success,0,0,0,0,True,True,False,0,[],0.5306915306915307
22,22,18,7174,12176,0.58919185282523,5047202.9302300215,8445689.058700256,44,25,0,228.90919592011133,34592,5217,29375,0.29652103559870546,0.17244196529186384,5,162.90919592011133,66.0,10,21,False,OrderedDict(),OrderedDict(),OrderedDict(),OrderedDict(),0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,Leave Event,0,0,0,0,True,True,False,0,[],
23,23,19,7699,13242,0.5814076423500981,5594976.381096104,9557930.008458816,44,26,1,234.0,33526,5074,28452,0.31580366774541535,0.19844489519945907,22,1043.3780016496808,234.0,8,14,True,"OrderedDict([(7, 42), (6, 63), (5, 66), (4, 68), (3, 88), (2, 91), (1, 81), (0, 54)])","OrderedDict([((6, 7), [63, 59, 42]), ((5, 7), [66, 57, 44, 42]), ((4, 7), [68, 82, 42]), ((3, 4), [88, 1, 68]), ((3, 5), [88, 8, 66]), ((3, 6), [88, 43, 63]), ((2, 4), [91, 8, 68]), ((2, 6), [91, 61, 16, 63]), ((1, 2), [81, 82, 91]), ((1, 3), [81, 0, 71, 88]), ((1, 4), [81, 68]), ((1, 6), [81, 0, 17, 63]), ((0, 1), [54, 10, 81]), ((0, 2), [54, 6, 23, 91])])",OrderedDict(),OrderedDict(),1066,525,0,0,0,143,382,0,0,541,0,1112240.9497585597,547773.4508660825,513.8587719194019,Success,0,0,0,0,True,True,False,0,[],0.4924953095684803
23,23,18,7699,13242,0.5814076423500981,5594976.381096104,9557930.008458816,44,27,0,236.7788267503417,34243,5204,29039,0.29827400215749733,0.18190782059950417,6,159.7788267503417,77.0,8,11,False,OrderedDict(),OrderedDict(),OrderedDict(),OrderedDict(),0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,Leave Event,0,0,0,0,True,True,False,0,[],
24,24,19,8444,14777,0.5714285714285714,5699558.760942738,9773411.824652886,47,28,1,241.0,32708,4982,27726,0.32820927723840343,0.21889790398918185,23,140.37903335118588,241.0,8,18,True,"OrderedDict([(7, 67), (5, 89), (4, 62), (0, 59), (6, 77), (3, 4), (2, 10), (1, 43)])","OrderedDict([((5, 7), [89, 40, 67]), ((4, 5), [62, 8, 89]), ((4, 7), [62, 2, 81, 67]), ((0, 5), [59, 27, 89]), ((0, 7), [59, 75, 67]), ((6, 0), [77, 42, 59]), ((6, 4), [77, 25, 12, 62]), ((6, 5), [77, 18, 40, 89]), ((3, 0), [4, 19, 87, 59]), ((3, 6), [4, 22, 77]), ((2, 0), [10, 22, 55, 59]), ((2, 3), [10, 19, 4]), ((2, 4), [10, 12, 62]), ((2, 6), [10, 30, 77]), ((1, 3), [43, 25, 47, 4]), ((1, 4), [43, 11, 66, 62]), ((1, 5), [43, 9, 15, 89]), ((1, 6), [43, 77])])",OrderedDict(),OrderedDict(),1535,745,0,0,0,222,523,0,0,790,0,215481.81619407033,104582.37984663348,68.13184354829542,Success,0,0,0,0,True,True,False,0,[],0.48534201954397393
25,24,19,8444,14777,0.5714285714285714,5699558.760942738,9773411.824652886,47,29,1,253.0,32708,4982,27726,0.32820927723840343,0.21889790398918185,24,114.19474908812981,253.0,8,19,False,OrderedDict(),OrderedDict(),OrderedDict(),OrderedDict(),0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,Unknown Reason,0,0,0,0,True,True,False,0,[],0.0
26,25,20,9192,16182,0.568038561364479,6182726.0417493265,10680965.34007168,52,30,1,265.0,31303,4702,26601,0.36596548004315,0.2505916159567275,25,645.9455625756538,265.0,9,17,True,"OrderedDict([(8, 42), (7, 62), (6, 31), (5, 37), (3, 16), (1, 51), (4, 86), (2, 24), (0, 33)])","OrderedDict([((7, 8), [62, 5, 42]), ((6, 7), [31, 35, 70, 62]), ((6, 8), [31, 25, 77, 42]), ((5, 6), [37, 43, 31]), ((5, 8), [37, 42]), ((3, 6), [16, 12, 25, 31]), ((3, 8), [16, 73, 37, 42]), ((1, 3), [51, 20, 16]), ((1, 7), [51, 71, 97, 62]), ((1, 8), [51, 20, 5, 42]), ((4, 1), [86, 79, 51]), ((4, 3), [86, 46, 16]), ((4, 5), [86, 5, 12, 37]), ((4, 6), [86, 38, 31]), ((2, 4), [24, 79, 86]), ((2, 7), [24, 97, 62]), ((0, 1), [33, 71, 51])])",OrderedDict(),OrderedDict(),1405,748,0,0,0,280,468,0,0,657,0,907553.5154187935,483167.280806589,343.8913030651879,Success,0,0,0,0,True,True,False,0,[],0.5323843416370106
27,26,21,9622,16966,0.5671342685370742,6291954.89880942,10880117.48875799,55,31,1,281.0,30519,4571,25948,0.38362998921251346,0.26898805499211176,26,254.0205978141708,281.0,7,11,True,"OrderedDict([(6, 8), (5, 82), (2, 1), (4, 4), (1, 25), (0, 17), (3, 64)])","OrderedDict([((5, 6), [82, 91, 8]), ((2, 6), [1, 88, 8]), ((4, 5), [4, 82]), ((1, 2), [25, 47, 1]), ((1, 4), [25, 47, 4]), ((0, 2), [17, 6, 1]), ((0, 4), [17, 0, 62, 4]), ((0, 5), [17, 10, 81, 82]), ((3, 0), [64, 63, 17]), ((3, 1), [64, 49, 25]), ((3, 4), [64, 97, 34, 4])])",OrderedDict(),OrderedDict(),784,430,0,0,0,131,299,0,0,354,0,199152.1486863099,109228.85706009345,139.32252176032327,Success,0,0,0,0,True,True,False,0,[],0.548469387755102
27,26,20,9622,16966,0.5671342685370742,6291954.89880942,10880117.48875799,55,32,0,286.24999384925695,30820,4657,26163,0.3720334412081985,0.2629310344827587,17,108.24999384925698,178.0,4,3,False,OrderedDict(),OrderedDict(),OrderedDict(),OrderedDict(),0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,Leave Event,0,0,0,0,True,True,False,0,[],
28,27,21,9682,17028,0.5685929058022081,6357382.5186104495,10947726.029219054,55,33,1,290.0,30758,4599,26159,0.37985436893203883,0.263043723236421,27,1090.4603300171568,290.0,2,1,True,"OrderedDict([(1, 29), (0, 4)])","OrderedDict([((0, 1), [4, 81, 29])])",OrderedDict(),OrderedDict(),62,60,0,0,0,58,2,0,0,2,0,67608.54046106372,65427.61980102941,1055.284190339184,Success,0,0,0,0,True,True,False,0,[],0.967741935483871
29,28,22,9747,17096,0.5701333645297145,6371755.9338142555,10962762.832816882,55,34,1,298.0,30690,4537,26153,0.3882146709816613,0.26321275636691455,28,221.12946467394084,298.0,2,1,True,"OrderedDict([(1, 44), (0, 25)])","OrderedDict([((0, 1), [25, 47, 44])])",OrderedDict(),OrderedDict(),68,65,0,0,0,62,3,0,0,3,0,15036.803597827977,14373.415203806155,211.37375299714935,Success,0,0,0,0,True,True,False,0,[],0.9558823529411765
