vn_count,success_count,inservice_count,total_revenue,total_cost,total_r2c,total_time_revenue,total_time_cost,num_running_pn_nodes,event_id,event_type,event_time,pn_available_resource,pn_node_available_resource,pn_edge_available_resource,pn_node_resource_utilization,pn_edge_resource_utilization,vn_id,lifetime,arrival_time,vn_num_nodes,vn_num_egdes,result,node_slots,edge_paths,node_slots_info,edge_paths_info,vn_cost,vn_revenue,vn_demand,vn_node_demand,vn_edge_demand,vn_node_revenue,vn_edge_revenue,vn_node_cost,vn_edge_cost,vn_path_cost,vn_r2c_ratio,vn_time_cost,vn_time_revenue,vn_time_rc_ratio,description,violation,current_violation,total_place_violation,total_route_violation,place_result,route_result,early_rejection,revoke_times,selected_actions,vn_rc_ratio
1,1,1,49,51,0.9607843137254902,3612.5213083279373,3759.971157647445,3,0,1,9.0,41634,7335,34299,0.004478827361563464,0.0005245213742459676,0,73.72492465975382,9.0,3,3,True,"OrderedDict([(0, 12), (2, 6), (1, 13)])","OrderedDict([((2, 0), [6, 12]), ((1, 0), [13, 12]), ((1, 2), [13, 12, 6])])",OrderedDict(),OrderedDict(),51,49,0,0,0,33,16,0,0,2,0,3759.971157647445,3612.5213083279373,70.83375114368505,Success,0,0,0,0,True,True,False,0,[],0.9607843137254902
2,2,2,714,876,0.815068493150685,341471.7260938171,422908.60867347993,11,1,1,21.0,40809,7072,33737,0.04017372421281218,0.016901244281260053,1,508.05895456464543,21.0,9,12,True,"OrderedDict([(1, 18), (8, 6), (0, 15), (4, 40), (7, 44), (2, 55), (3, 61), (6, 62), (5, 65)])","OrderedDict([((8, 1), [6, 18]), ((0, 1), [15, 18]), ((4, 0), [40, 15]), ((4, 1), [40, 18]), ((4, 8), [40, 12, 6]), ((7, 1), [44, 18]), ((2, 1), [55, 18]), ((2, 8), [55, 18, 6]), ((3, 2), [61, 18, 55]), ((6, 0), [62, 18, 15]), ((6, 7), [62, 18, 44]), ((5, 3), [65, 18, 61])])",OrderedDict(),OrderedDict(),825,665,0,0,0,263,402,0,0,160,0,419148.6375158325,337859.2047854892,409.526308830896,Success,0,0,0,0,True,True,False,0,[],0.806060606060606
3,3,3,904,1099,0.8225659690627843,407325.54998489877,500200.2019772232,15,2,1,29.0,40586,6988,33598,0.05157437567861023,0.020951714893493012,2,346.59907311095634,29.0,4,5,True,"OrderedDict([(2, 87), (0, 8), (1, 24), (3, 30)])","OrderedDict([((0, 2), [8, 87]), ((1, 0), [24, 87, 8]), ((1, 2), [24, 87]), ((3, 0), [30, 70, 8]), ((3, 2), [30, 87])])",OrderedDict(),OrderedDict(),223,190,0,0,0,84,106,0,0,33,0,77291.59330374327,65853.8238910817,295.30862731426777,Success,0,0,0,0,True,True,False,0,[],0.852017937219731
4,4,4,1630,2100,0.7761904761904762,1165131.4882940678,1545053.8441913803,24,3,1,43.0,39585,6751,32834,0.08374049945711182,0.043214733222601054,3,1043.8098323817753,43.0,10,23,True,"OrderedDict([(9, 19), (6, 4), (5, 5), (8, 9), (7, 15), (4, 17), (0, 23), (2, 28), (1, 41), (3, 63)])","OrderedDict([((6, 9), [4, 19]), ((5, 6), [5, 19, 4]), ((5, 9), [5, 19]), ((8, 5), [9, 1, 5]), ((8, 6), [9, 19, 4]), ((8, 9), [9, 19]), ((7, 5), [15, 19, 5]), ((7, 6), [15, 19, 4]), ((7, 9), [15, 19]), ((4, 5), [17, 5]), ((4, 9), [17, 19]), ((0, 6), [23, 19, 4]), ((0, 7), [23, 19, 15]), ((0, 8), [23, 19, 9]), ((0, 9), [23, 19]), ((2, 4), [28, 19, 17]), ((2, 5), [28, 19, 5]), ((1, 2), [41, 19, 28]), ((1, 6), [41, 90, 4]), ((3, 1), [63, 19, 41]), ((3, 2), [63, 27, 28]), ((3, 4), [63, 17]), ((3, 8), [63, 19, 9])])",OrderedDict(),OrderedDict(),1001,726,0,0,0,237,489,0,0,275,0,1044853.6422141572,757805.9383091689,757.0488894197491,Success,0,0,0,0,True,True,False,0,[],0.7252747252747253
5,5,5,2304,3116,0.7394094993581515,1627799.5923599491,2242488.256255083,27,4,1,51.0,38569,6503,32066,0.11739956568946797,0.06559431185709708,4,686.4511929760852,51.0,8,15,True,"OrderedDict([(0, 12), (5, 13), (1, 30), (3, 40), (2, 49), (6, 98), (4, 7), (7, 9)])","OrderedDict([((5, 0), [13, 12]), ((1, 0), [30, 12]), ((1, 5), [30, 12, 13]), ((3, 0), [40, 12]), ((3, 5), [40, 75, 13]), ((2, 0), [49, 12]), ((2, 3), [49, 31, 40]), ((6, 1), [98, 89, 30]), ((6, 2), [98, 14, 49]), ((6, 5), [98, 35, 13]), ((4, 1), [7, 6, 12, 30]), ((4, 3), [7, 78, 18, 40]), ((4, 5), [7, 57, 13]), ((4, 6), [7, 6, 12, 98]), ((7, 2), [9, 37, 49])])",OrderedDict(),OrderedDict(),1016,674,0,0,0,248,426,0,0,342,0,697434.4120637025,462668.1040658814,455.38199219082816,Success,0,0,0,0,True,True,False,0,[],0.6633858267716536
6,6,6,2488,3300,0.7539393939393939,1643837.3639458918,2258526.0278410255,31,5,1,60.0,38385,6363,32022,0.13640065146579805,0.06687647521636508,5,87.16180209751455,60.0,4,3,True,"OrderedDict([(2, 46), (0, 3), (3, 27), (1, 29)])","OrderedDict([((0, 2), [3, 46]), ((3, 2), [27, 46]), ((1, 3), [29, 46, 27])])",OrderedDict(),OrderedDict(),184,184,0,0,0,140,44,0,0,0,0,16037.771585942677,16037.771585942677,87.16180209751455,Success,0,0,0,0,True,True,False,0,[],1.0
7,7,7,2626,3442,0.7629285299244625,1650757.2633622098,2265646.504052019,33,6,1,63.0,38243,6278,31965,0.14793702497285555,0.06853745956814405,6,50.14419866897133,63.0,3,2,True,"OrderedDict([(2, 93), (0, 8), (1, 16)])","OrderedDict([((0, 2), [8, 93]), ((1, 0), [16, 93, 8])])",OrderedDict(),OrderedDict(),142,138,0,0,0,85,53,0,0,4,0,7120.476210993928,6919.899416318043,48.73168603040876,Success,0,0,0,0,True,True,False,0,[],0.971830985915493
8,8,8,3676,4986,0.7372643401524268,1665588.8367614395,2287455.9796028864,40,7,1,68.0,36699,5910,30789,0.19788273615635177,0.10280618935221608,7,14.125307999266438,68.0,10,30,True,"OrderedDict([(8, 56), (7, 1), (0, 5), (4, 7), (1, 64), (2, 50), (9, 23), (6, 67), (5, 72), (3, 77)])","OrderedDict([((7, 8), [1, 56]), ((0, 8), [5, 56]), ((4, 0), [7, 56, 5]), ((4, 7), [7, 50, 1]), ((4, 8), [7, 56]), ((1, 0), [64, 56, 5]), ((1, 4), [64, 32, 7]), ((1, 7), [64, 1]), ((1, 8), [64, 56]), ((2, 0), [50, 1, 5]), ((2, 1), [50, 1, 64]), ((2, 4), [50, 7]), ((2, 7), [50, 1]), ((2, 8), [50, 7, 56]), ((9, 0), [23, 5]), ((9, 4), [23, 19, 32, 7]), ((9, 8), [23, 5, 56]), ((6, 0), [67, 5]), ((6, 1), [67, 5, 1, 64]), ((6, 2), [67, 76, 50]), ((6, 8), [67, 46, 56]), ((6, 9), [67, 5, 23]), ((5, 0), [72, 5]), ((5, 1), [72, 17, 54, 64]), ((5, 2), [72, 17, 19, 50]), ((5, 7), [72, 9, 1]), ((3, 0), [77, 5]), ((3, 1), [77, 54, 64]), ((3, 2), [77, 50]), ((3, 7), [77, 34, 1])])",OrderedDict(),OrderedDict(),1544,1050,0,0,0,368,682,0,0,494,0,21809.47555086738,14831.57339922976,9.605941320744662,Success,0,0,0,0,True,True,False,0,[],0.6800518134715026
8,8,7,3676,4986,0.7372643401524268,1665588.8367614395,2287455.9796028864,40,8,0,82.12530799926644,38243,6278,31965,0.14793702497285555,0.06853745956814405,7,14.125307999266438,68.0,10,30,False,OrderedDict(),OrderedDict(),OrderedDict(),OrderedDict(),0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,Leave Event,0,0,0,0,True,True,False,0,[],
8,8,6,3676,4986,0.7372643401524268,1665588.8367614395,2287455.9796028864,40,9,0,82.72492465975382,38294,6311,31983,0.14345819761129208,0.06801293819389809,0,73.72492465975382,9.0,3,3,False,OrderedDict(),OrderedDict(),OrderedDict(),OrderedDict(),0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,Leave Event,0,0,0,0,True,True,False,0,[],
