vn_count,success_count,inservice_count,total_revenue,total_cost,total_r2c,total_time_revenue,total_time_cost,num_running_pn_nodes,event_id,event_type,event_time,pn_available_resource,pn_node_available_resource,pn_edge_available_resource,pn_node_resource_utilization,pn_edge_resource_utilization,vn_id,lifetime,arrival_time,vn_num_nodes,vn_num_egdes,result,node_slots,edge_paths,node_slots_info,edge_paths_info,vn_cost,vn_revenue,vn_demand,vn_node_demand,vn_edge_demand,vn_node_revenue,vn_edge_revenue,vn_node_cost,vn_edge_cost,vn_path_cost,vn_r2c_ratio,vn_time_cost,vn_time_revenue,vn_time_rc_ratio,description,violation,current_violation,total_place_violation,total_route_violation,place_result,route_result,early_rejection,revoke_times,selected_actions,vn_rc_ratio
1,1,1,381,498,0.7650602409638554,234557.72296498483,306587.2599384841,6,0,1,9.0,42228,7489,34739,0.028033744321868892,0.008052311470260753,0,615.6370681495665,9.0,6,6,True,"OrderedDict([(5, 99), (4, 13), (3, 39), (1, 44), (0, 55), (2, 64)])","OrderedDict([((4, 5), [13, 99]), ((3, 4), [39, 99, 13]), ((1, 3), [44, 74, 39]), ((0, 3), [55, 51, 39]), ((2, 0), [64, 55]), ((2, 1), [64, 55, 44])])",OrderedDict(),OrderedDict(),498,381,0,0,0,216,165,0,0,117,0,306587.2599384841,234557.72296498483,470.9994437047888,Success,0,0,0,0,True,True,False,0,[],0.7650602409638554
2,2,2,1066,1572,0.678117048346056,1421957.6495198626,2168291.670332555,13,1,1,21.0,41154,7347,33807,0.04646333549643089,0.03466491533651239,1,1733.43054971515,21.0,9,22,True,"OrderedDict([(8, 99), (7, 44), (5, 83), (4, 88), (2, 89), (0, 96), (6, 1), (3, 15), (1, 77)])","OrderedDict([((7, 8), [44, 99]), ((5, 7), [83, 44]), ((5, 8), [83, 99]), ((4, 5), [88, 42, 83]), ((4, 8), [88, 99]), ((2, 4), [89, 99, 88]), ((2, 5), [89, 99, 83]), ((2, 8), [89, 99]), ((0, 4), [96, 9, 88]), ((0, 5), [96, 27, 83]), ((0, 8), [96, 99]), ((6, 0), [1, 13, 96]), ((6, 2), [1, 80, 89]), ((6, 4), [1, 88]), ((6, 7), [1, 23, 29, 44]), ((3, 5), [15, 0, 83]), ((3, 7), [15, 3, 44]), ((1, 0), [77, 13, 96]), ((1, 2), [77, 13, 82, 89]), ((1, 5), [77, 0, 83]), ((1, 6), [77, 13, 1]), ((1, 7), [77, 74, 44])])",OrderedDict(),OrderedDict(),1074,685,0,0,0,142,543,0,0,389,0,1861704.4103940711,1187399.9265548778,1105.5865237941132,Success,0,0,0,0,True,True,False,0,[],0.6378026070763501
3,3,3,1354,2016,0.6716269841269841,1618327.4123816588,2471028.3880778244,16,2,1,28.0,40710,7230,33480,0.061648280337443184,0.04400217012649554,2,681.839454381237,28.0,5,7,True,"OrderedDict([(4, 99), (2, 39), (1, 84), (0, 6), (3, 41)])","OrderedDict([((2, 4), [39, 99]), ((1, 2), [84, 41, 39]), ((1, 4), [84, 64, 99]), ((0, 1), [6, 15, 84]), ((0, 2), [6, 39]), ((0, 4), [6, 39, 99]), ((3, 0), [41, 39, 6])])",OrderedDict(),OrderedDict(),444,288,0,0,0,117,171,0,0,156,0,302736.71774526924,196369.76286179628,442.27424067972134,Success,0,0,0,0,True,True,False,0,[],0.6486486486486487
4,4,4,1967,2907,0.6766425868593051,1692705.762506772,2579137.865992141,20,3,1,37.0,39819,6978,32841,0.09435431537962358,0.062248365266554306,3,121.33499204749322,37.0,10,15,True,"OrderedDict([(9, 13), (7, 88), (4, 89), (3, 1), (8, 15), (6, 42), (2, 84), (0, 51), (5, 63), (1, 74)])","OrderedDict([((7, 9), [88, 42, 13]), ((4, 9), [89, 82, 13]), ((3, 4), [1, 80, 89]), ((3, 9), [1, 13]), ((8, 3), [15, 13, 1]), ((6, 4), [42, 56, 89]), ((6, 8), [42, 13, 15]), ((2, 3), [84, 1]), ((2, 4), [84, 89]), ((0, 2), [51, 38, 84]), ((0, 4), [51, 8, 56, 89]), ((0, 6), [51, 42]), ((0, 8), [51, 94, 15]), ((5, 6), [63, 8, 51, 42]), ((1, 8), [74, 36, 15])])",OrderedDict(),OrderedDict(),891,613,0,0,0,252,361,0,0,278,0,108109.47791431645,74378.35012511334,83.4773851011373,Success,0,0,0,0,True,True,False,0,[],0.6879910213243546
5,5,5,2525,3950,0.6392405063291139,2097415.367943331,3335611.1965841325,25,4,1,44.0,38776,6853,31923,0.11057754704737188,0.08846120898889243,4,725.2860312483141,44.0,8,17,True,"OrderedDict([(7, 13), (6, 77), (5, 82), (3, 41), (1, 3), (0, 29), (4, 38), (2, 0)])","OrderedDict([((6, 7), [77, 13]), ((5, 7), [82, 13]), ((3, 5), [41, 61, 32, 82]), ((3, 7), [41, 84, 13]), ((1, 5), [3, 18, 59, 82]), ((1, 7), [3, 84, 13]), ((0, 1), [29, 44, 3]), ((0, 5), [29, 14, 82]), ((0, 6), [29, 35, 20, 77]), ((0, 7), [29, 23, 1, 13]), ((4, 0), [38, 44, 29]), ((4, 1), [38, 44, 3]), ((4, 5), [38, 26, 82]), ((4, 6), [38, 27, 77]), ((2, 0), [0, 50, 14, 29]), ((2, 3), [0, 41]), ((2, 6), [0, 77])])",OrderedDict(),OrderedDict(),1043,558,0,0,0,125,433,0,0,485,0,756473.3305919915,404709.60543655924,388.02454979535884,Success,0,0,0,0,True,True,False,0,[],0.5349952061361457
6,6,6,2680,4161,0.6440759432828647,2133757.827870432,3385083.8355816696,25,5,1,50.0,38565,6754,31811,0.12342634652822837,0.09165929014020158,5,234.46748340065037,50.0,4,3,True,"OrderedDict([(3, 39), (0, 55), (1, 88), (2, 89)])","OrderedDict([((0, 3), [55, 51, 39]), ((1, 0), [88, 93, 55]), ((2, 1), [89, 99, 88])])",OrderedDict(),OrderedDict(),211,155,0,0,0,99,56,0,0,56,0,49472.63899753723,36342.459927100805,172.2391465739375,Success,0,0,0,0,True,True,False,0,[],0.7345971563981043
7,7,7,3072,4772,0.6437552388935457,2425125.4673181274,3839230.84502693,25,6,1,62.0,37954,6576,31378,0.14652822842310187,0.10402330030553097,6,743.2847945094275,62.0,7,8,True,"OrderedDict([(6, 44), (3, 55), (2, 64), (1, 6), (5, 41), (4, 51), (0, 63)])","OrderedDict([((3, 6), [55, 44]), ((2, 6), [64, 99, 44]), ((1, 6), [6, 78, 86, 44]), ((5, 2), [41, 47, 64]), ((5, 3), [41, 0, 55]), ((4, 1), [51, 11, 6]), ((4, 5), [51, 94, 41]), ((0, 3), [63, 8, 55])])",OrderedDict(),OrderedDict(),611,392,0,0,0,178,214,0,0,219,0,454147.00944526016,291367.6394476956,476.8701136623495,Success,0,0,0,0,True,True,False,0,[],0.6415711947626841
8,8,8,3138,4844,0.6478117258464079,2449716.7491094093,3866057.6978901466,25,7,1,68.0,37882,6516,31366,0.15431537962362107,0.104365951857457,7,372.59517865578704,68.0,2,1,True,"OrderedDict([(1, 96), (0, 15)])","OrderedDict([((0, 1), [15, 13, 96])])",OrderedDict(),OrderedDict(),72,66,0,0,0,60,6,0,0,6,0,26826.852863216667,24591.281791281945,341.54558043447145,Success,0,0,0,0,True,True,False,0,[],0.9166666666666666
9,9,9,3594,5519,0.6512049284290632,2600418.466879047,4089135.8985359916,26,8,1,79.0,37207,6297,30910,0.18273848150551586,0.11738671083064445,8,330.4862231790297,79.0,6,10,True,"OrderedDict([(5, 82), (4, 51), (3, 63), (2, 74), (0, 81), (1, 38)])","OrderedDict([((4, 5), [51, 8, 72, 82]), ((3, 4), [63, 77, 51]), ((3, 5), [63, 8, 72, 82]), ((2, 5), [74, 71, 82]), ((0, 2), [81, 54, 74]), ((0, 3), [81, 63]), ((0, 4), [81, 20, 51]), ((0, 5), [81, 71, 82]), ((1, 2), [38, 36, 74]), ((1, 4), [38, 51])])",OrderedDict(),OrderedDict(),675,456,0,0,0,219,237,0,0,219,0,223078.20064584506,150701.71776963756,223.26180410316675,Success,0,0,0,0,True,True,False,0,[],0.6755555555555556
10,10,10,3870,6010,0.6439267886855241,2684806.9743220895,4239261.830255317,26,9,1,90.0,36716,6188,30528,0.19688513951979236,0.12829445190028843,9,305.7554617501533,90.0,4,5,True,"OrderedDict([(3, 82), (1, 6), (0, 81), (2, 0)])","OrderedDict([((1, 3), [6, 4, 72, 82]), ((0, 1), [81, 4, 6]), ((0, 3), [81, 71, 82]), ((2, 0), [0, 15, 81]), ((2, 1), [0, 24, 6])])",OrderedDict(),OrderedDict(),491,276,0,0,0,109,167,0,0,215,0,150125.93171932528,84388.50744304231,171.87068725670534,Success,0,0,0,0,True,True,False,0,[],0.5621181262729125
