vn_count,success_count,inservice_count,total_revenue,total_cost,total_r2c,total_time_revenue,total_time_cost,num_running_pn_nodes,event_id,event_type,event_time,pn_available_resource,pn_node_available_resource,pn_edge_available_resource,pn_node_resource_utilization,pn_edge_resource_utilization,vn_id,lifetime,arrival_time,vn_num_nodes,vn_num_egdes,result,node_slots,edge_paths,node_slots_info,edge_paths_info,vn_cost,vn_revenue,vn_demand,vn_node_demand,vn_edge_demand,vn_node_revenue,vn_edge_revenue,vn_node_cost,vn_edge_cost,vn_path_cost,vn_r2c_ratio,vn_time_cost,vn_time_revenue,vn_time_rc_ratio,description,violation,current_violation,total_place_violation,total_route_violation,place_result,route_result,early_rejection,revoke_times,selected_actions,vn_rc_ratio
1,1,1,119,119,1.0,141704.43964229876,141704.43964229876,2,0,1,14.0,46677,7260,39417,0.009549795361528002,0.0012415750266051573,0,1190.7936104394855,14.0,2,1,True,"OrderedDict([(0, 24), (1, 3)])","OrderedDict([((1, 0), [3, 24])])",OrderedDict(),OrderedDict(),119,119,0,0,0,70,49,0,0,0,0,141704.43964229876,141704.43964229876,1190.7936104394855,Success,0,0,0,0,True,True,False,0,[],1.0
2,2,2,757,1096,0.6906934306569343,261799.0719924542,325611.1101847782,12,1,1,26.0,45700,7096,38604,0.031923601637107724,0.02184158516191148,1,188.2361008623126,26.0,10,24,True,"OrderedDict([(6, 58), (2, 0), (8, 7), (7, 11), (1, 12), (0, 20), (4, 27), (5, 28), (9, 35), (3, 43)])","OrderedDict([((2, 6), [0, 58]), ((8, 2), [7, 58, 0]), ((8, 6), [7, 58]), ((7, 6), [11, 58]), ((1, 2), [12, 58, 0]), ((1, 6), [12, 58]), ((1, 7), [12, 58, 11]), ((0, 1), [20, 58, 12]), ((0, 2), [20, 58, 0]), ((0, 6), [20, 58]), ((0, 7), [20, 11]), ((4, 0), [27, 58, 20]), ((4, 1), [27, 15, 12]), ((4, 2), [27, 34, 0]), ((4, 7), [27, 34, 11]), ((4, 8), [27, 16, 7]), ((5, 0), [28, 20]), ((5, 1), [28, 58, 12]), ((5, 4), [28, 58, 27]), ((5, 7), [28, 20, 11]), ((9, 2), [35, 4, 0]), ((9, 4), [35, 23, 27]), ((3, 2), [43, 4, 0]), ((3, 9), [43, 4, 35])])",OrderedDict(),OrderedDict(),977,638,0,0,0,164,474,0,0,339,0,183906.67054247943,120094.63235015544,122.92183454468316,Success,0,0,0,0,True,True,False,0,[],0.6530194472876152
3,3,3,918,1274,0.7205651491365777,329061.51397940685,399975.79759892466,15,2,1,44.0,45522,7032,38490,0.040654843110504824,0.024730147468707275,2,417.77914277610347,44.0,5,5,True,"OrderedDict([(2, 64), (3, 1), (1, 3), (4, 7), (0, 16)])","OrderedDict([((3, 2), [1, 64]), ((1, 2), [3, 64]), ((4, 1), [7, 57, 3]), ((4, 3), [7, 33, 1]), ((0, 4), [16, 7])])",OrderedDict(),OrderedDict(),178,161,0,0,0,64,97,0,0,17,0,74364.68741414642,67262.44198695266,377.8788875671498,Success,0,0,0,0,True,True,False,0,[],0.9044943820224719
4,4,4,1462,1960,0.7459183673469387,415715.11139926215,509248.53258058045,22,3,1,57.0,44836,6824,38012,0.06903137789904501,0.036841838544570016,3,159.28970113943987,57.0,9,13,True,"OrderedDict([(6, 57), (7, 1), (0, 2), (3, 7), (2, 8), (4, 22), (5, 29), (1, 46), (8, 56)])","OrderedDict([((7, 6), [1, 57]), ((0, 6), [2, 57]), ((0, 7), [2, 57, 1]), ((3, 6), [7, 57]), ((2, 6), [8, 57]), ((4, 3), [22, 57, 7]), ((5, 2), [29, 57, 8]), ((5, 7), [29, 59, 1]), ((1, 0), [46, 2]), ((1, 4), [46, 57, 22]), ((1, 7), [46, 13, 1]), ((8, 0), [56, 82, 2]), ((8, 4), [56, 22])])",OrderedDict(),OrderedDict(),686,544,0,0,0,208,336,0,0,142,0,109272.73498165575,86653.59741985529,126.31719740503686,Success,0,0,0,0,True,True,False,0,[],0.793002915451895
5,5,5,1925,2571,0.7487359004278491,419318.5982319674,514003.88993432326,27,4,1,71.0,44225,6641,37584,0.09399727148703951,0.04768661632797855,4,7.78290892592936,71.0,7,12,True,"OrderedDict([(4, 76), (2, 4), (5, 6), (6, 11), (1, 12), (3, 34), (0, 48)])","OrderedDict([((2, 4), [4, 76]), ((5, 2), [6, 76, 4]), ((5, 4), [6, 76]), ((6, 4), [11, 76]), ((1, 2), [12, 3, 4]), ((1, 6), [12, 76, 11]), ((3, 2), [34, 0, 4]), ((3, 5), [34, 48, 6]), ((3, 6), [34, 11]), ((0, 1), [48, 61, 12]), ((0, 2), [48, 76, 4]), ((0, 5), [48, 6])])",OrderedDict(),OrderedDict(),611,463,0,0,0,183,280,0,0,148,0,4755.357353742839,3603.4868327052936,5.897687123903918,Success,0,0,0,0,True,True,False,0,[],0.7577741407528642
5,5,4,1925,2571,0.7487359004278491,419318.5982319674,514003.88993432326,27,5,0,78.78290892592936,44836,6824,38012,0.06903137789904501,0.036841838544570016,4,7.78290892592936,71.0,7,12,False,OrderedDict(),OrderedDict(),OrderedDict(),OrderedDict(),0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,Leave Event,0,0,0,0,True,True,False,0,[],
6,6,5,2592,3557,0.728703964014619,774167.4122895327,1038563.0063672459,29,6,1,81.0,43850,6616,37234,0.09740791268758531,0.05655500937515834,5,532.0072174776092,81.0,8,16,True,"OrderedDict([(1, 76), (0, 4), (2, 6), (5, 11), (7, 34), (3, 53), (6, 57), (4, 70)])","OrderedDict([((0, 1), [4, 76]), ((2, 1), [6, 76]), ((5, 1), [11, 76]), ((5, 2), [11, 2, 6]), ((7, 0), [34, 0, 4]), ((7, 1), [34, 76]), ((7, 2), [34, 48, 6]), ((3, 0), [53, 42, 4]), ((3, 2), [53, 76, 6]), ((6, 0), [57, 3, 4]), ((6, 3), [57, 76, 53]), ((6, 5), [57, 70, 11]), ((6, 7), [57, 82, 34]), ((4, 0), [70, 76, 4]), ((4, 3), [70, 76, 53]), ((4, 5), [70, 11])])",OrderedDict(),OrderedDict(),986,667,0,0,0,208,459,0,0,319,0,524559.1164329227,354848.8140575653,359.88723535250034,Success,0,0,0,0,True,True,False,0,[],0.6764705882352942
7,7,6,2658,3623,0.7336461495997791,841492.9298568175,1105888.5239345308,30,7,1,96.0,43784,6565,37219,0.10436562073669853,0.056935083362894656,6,1020.083599504315,96.0,2,1,True,"OrderedDict([(0, 32), (1, 2)])","OrderedDict([((1, 0), [2, 32])])",OrderedDict(),OrderedDict(),66,66,0,0,0,51,15,0,0,0,0,67325.51756728478,67325.51756728478,1020.083599504315,Success,0,0,0,0,True,True,False,0,[],1.0
8,8,7,3111,4231,0.7352871661545733,910027.7305176308,1197873.421951693,35,8,1,104.0,43176,6332,36844,0.1361527967257844,0.0664369330563016,7,151.29095068612216,104.0,8,11,True,"OrderedDict([(3, 62), (7, 13), (6, 27), (0, 31), (1, 34), (2, 35), (4, 38), (5, 42)])","OrderedDict([((7, 3), [13, 62]), ((6, 3), [27, 62]), ((0, 3), [31, 62]), ((0, 7), [31, 1, 13]), ((1, 6), [34, 27]), ((2, 1), [35, 11, 34]), ((2, 7), [35, 50, 13]), ((4, 7), [38, 13]), ((5, 1), [42, 62, 34]), ((5, 4), [42, 99, 38]), ((5, 7), [42, 62, 13])])",OrderedDict(),OrderedDict(),608,453,0,0,0,233,220,0,0,155,0,91984.89801716227,68534.80066081334,112.72171161317982,Success,0,0,0,0,True,True,False,0,[],0.7450657894736842
9,9,8,3777,5126,0.7368318376902068,1600771.3405967848,2126124.970031037,42,9,1,111.0,42281,6098,36183,0.16807639836289223,0.08318552678254698,8,1037.1525676864176,111.0,8,18,True,"OrderedDict([(4, 82), (0, 0), (5, 25), (7, 84), (6, 86), (1, 90), (2, 91), (3, 97)])","OrderedDict([((0, 4), [0, 82]), ((5, 0), [25, 82, 0]), ((5, 4), [25, 82]), ((7, 0), [84, 4, 0]), ((7, 4), [84, 82]), ((6, 0), [86, 50, 0]), ((6, 4), [86, 82]), ((6, 5), [86, 82, 25]), ((1, 4), [90, 82]), ((1, 5), [90, 25]), ((1, 7), [90, 84]), ((2, 0), [91, 4, 0]), ((2, 5), [91, 82, 25]), ((2, 6), [91, 39, 86]), ((3, 0), [97, 14, 0]), ((3, 1), [97, 82, 90]), ((3, 2), [97, 91]), ((3, 6), [97, 86])])",OrderedDict(),OrderedDict(),895,666,0,0,0,234,432,0,0,229,0,928251.5480793437,690743.6100791541,771.7805699208426,Success,0,0,0,0,True,True,False,0,[],0.7441340782122905
