vn_count,success_count,inservice_count,total_revenue,total_cost,total_r2c,total_time_revenue,total_time_cost,num_running_pn_nodes,event_id,event_type,event_time,pn_available_resource,pn_node_available_resource,pn_edge_available_resource,pn_node_resource_utilization,pn_edge_resource_utilization,vn_id,lifetime,arrival_time,vn_num_nodes,vn_num_egdes,result,node_slots,edge_paths,node_slots_info,edge_paths_info,vn_cost,vn_revenue,vn_demand,vn_node_demand,vn_edge_demand,vn_node_revenue,vn_edge_revenue,vn_node_cost,vn_edge_cost,vn_path_cost,vn_r2c_ratio,vn_time_cost,vn_time_revenue,vn_time_rc_ratio,description,violation,current_violation,total_place_violation,total_route_violation,place_result,route_result,early_rejection,revoke_times,selected_actions,vn_rc_ratio
1,1,1,392,457,0.8577680525164114,373804.93805403856,435787.8997211623,7,0,1,7.0,41356,7131,34225,0.026750375324143594,0.007568288580873439,0,953.5840256480575,7.0,7,8,True,"OrderedDict([(0, 76), (6, 1), (3, 12), (4, 17), (5, 21), (2, 25), (1, 28)])","OrderedDict([((6, 0), [1, 76]), ((3, 0), [12, 76]), ((3, 6), [12, 1]), ((4, 0), [17, 76]), ((5, 6), [21, 76, 1]), ((2, 5), [25, 76, 21]), ((1, 2), [28, 76, 25]), ((1, 5), [28, 76, 21])])",OrderedDict(),OrderedDict(),457,392,0,0,0,196,196,0,0,65,0,435787.8997211623,373804.93805403856,817.953912590894,Success,0,0,0,0,True,True,False,0,[],0.8577680525164114
2,2,2,634,753,0.8419654714475432,492383.1411846519,580825.7018974497,12,1,1,23.0,41060,7010,34050,0.0432646376415996,0.012642811575711899,1,489.99257491988976,23.0,5,6,True,"OrderedDict([(3, 24), (0, 8), (4, 15), (2, 19), (1, 31)])","OrderedDict([((0, 3), [8, 24]), ((4, 3), [15, 24]), ((2, 0), [19, 24, 8]), ((2, 3), [19, 24]), ((1, 0), [31, 65, 8]), ((1, 4), [31, 24, 15])])",OrderedDict(),OrderedDict(),296,242,0,0,0,121,121,0,0,54,0,145037.80217628737,118578.20313061333,400.60203760342335,Success,0,0,0,0,True,True,False,0,[],0.8175675675675675
3,3,3,1388,1776,0.7815315315315315,701001.2366356169,863871.2080597006,19,2,1,30.0,40037,6660,33377,0.09103316500614167,0.0321579771501479,2,276.6818242055238,30.0,9,14,True,"OrderedDict([(2, 34), (0, 0), (7, 1), (6, 16), (1, 20), (4, 29), (5, 31), (8, 55), (3, 58)])","OrderedDict([((0, 2), [0, 34]), ((7, 2), [1, 34]), ((6, 0), [16, 34, 0]), ((6, 2), [16, 34]), ((1, 2), [20, 34]), ((4, 1), [29, 32, 20]), ((4, 2), [29, 34]), ((4, 6), [29, 11, 16]), ((4, 7), [29, 34, 1]), ((5, 2), [31, 34]), ((5, 4), [31, 43, 29]), ((5, 7), [31, 34, 1]), ((8, 0), [55, 3, 0]), ((3, 8), [58, 34, 55])])",OrderedDict(),OrderedDict(),1023,754,0,0,0,350,404,0,0,269,0,283045.5061622509,208618.09545096496,203.92775703906642,Success,0,0,0,0,True,True,False,0,[],0.7370478983382209
4,4,4,1447,1835,0.7885558583106267,705785.817793898,868655.7892179817,20,3,1,36.0,39978,6639,33339,0.09389927664801423,0.0332598735718842,3,81.09459590307135,36.0,2,1,True,"OrderedDict([(1, 35), (0, 1)])","OrderedDict([((0, 1), [1, 35])])",OrderedDict(),OrderedDict(),59,59,0,0,0,21,38,0,0,0,0,4784.581158281209,4784.581158281209,81.09459590307135,Success,0,0,0,0,True,True,False,0,[],1.0
5,5,5,2035,2694,0.7553823311061618,791452.8140375116,993805.3636623084,28,4,1,40.0,39119,6412,32707,0.12488057868158864,0.051586150901815175,4,145.69217048233605,40.0,9,13,True,"OrderedDict([(6, 66), (4, 13), (7, 28), (8, 44), (3, 45), (0, 52), (1, 56), (5, 60), (2, 65)])","OrderedDict([((4, 6), [13, 66]), ((7, 6), [28, 66]), ((8, 6), [44, 66]), ((3, 4), [45, 66, 13]), ((3, 8), [45, 11, 44]), ((0, 3), [52, 18, 45]), ((0, 4), [52, 66, 13]), ((1, 0), [56, 66, 52]), ((1, 7), [56, 32, 28]), ((5, 3), [60, 66, 45]), ((5, 4), [60, 80, 13]), ((5, 8), [60, 66, 44]), ((2, 5), [65, 66, 60])])",OrderedDict(),OrderedDict(),859,588,0,0,0,227,361,0,0,271,0,125149.57444432667,85666.9962436136,99.7287499925653,Success,0,0,0,0,True,True,False,0,[],0.6845168800931315
6,5,5,2035,2694,0.7553823311061618,791452.8140375116,993805.3636623084,28,5,1,47.0,39119,6412,32707,0.12488057868158864,0.051586150901815175,5,364.766082233397,47.0,10,27,False,OrderedDict(),OrderedDict(),OrderedDict(),OrderedDict(),0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,Unknown Reason,0,0,0,0,True,True,False,0,[],0.0
7,6,6,2269,2995,0.7575959933222036,878132.5103254833,1105303.605468631,33,6,1,53.0,38818,6294,32524,0.14098539647877717,0.05689265209070349,6,370.4260525126993,53.0,6,7,True,"OrderedDict([(4, 70), (3, 0), (2, 5), (1, 23), (0, 40), (5, 67)])","OrderedDict([((3, 4), [0, 70]), ((2, 4), [5, 70]), ((1, 2), [23, 70, 5]), ((1, 3), [23, 70, 0]), ((0, 3), [40, 70, 0]), ((5, 2), [67, 48, 5]), ((5, 3), [67, 70, 0])])",OrderedDict(),OrderedDict(),301,234,0,0,0,118,116,0,0,67,0,111498.24180632249,86679.69628797163,287.9724129168493,Success,0,0,0,0,True,True,False,0,[],0.7774086378737541
8,7,7,2573,3381,0.7610174504584443,913564.1972547051,1150292.5237406036,36,7,1,62.0,38432,6165,32267,0.15859151085027978,0.064344951574552,7,116.55160174086151,62.0,6,7,True,"OrderedDict([(4, 64), (3, 7), (2, 35), (0, 40), (5, 61), (1, 67)])","OrderedDict([((3, 4), [7, 64]), ((2, 3), [35, 28, 7]), ((2, 4), [35, 64]), ((0, 3), [40, 64, 7]), ((0, 4), [40, 64]), ((5, 0), [61, 32, 40]), ((1, 5), [67, 42, 61])])",OrderedDict(),OrderedDict(),386,304,0,0,0,129,175,0,0,82,0,44988.91827197254,35431.6869292219,91.79193504979767,Success,0,0,0,0,True,True,False,0,[],0.7875647668393783
9,8,8,2758,3605,0.7650485436893204,1144258.095905595,1429619.1902151946,38,8,1,79.0,38208,6103,32105,0.16705336426914152,0.06904251000405959,8,1246.994046761567,79.0,4,6,True,"OrderedDict([(1, 59), (2, 2), (0, 13), (3, 19)])","OrderedDict([((2, 1), [2, 59]), ((0, 1), [13, 59]), ((0, 2), [13, 59, 2]), ((3, 0), [19, 59, 13]), ((3, 1), [19, 59]), ((3, 2), [19, 28, 2])])",OrderedDict(),OrderedDict(),224,185,0,0,0,62,123,0,0,39,0,279326.666474591,230693.8986508899,1029.8834761200442,Success,0,0,0,0,True,True,False,0,[],0.8258928571428571
10,9,9,2826,3673,0.7693983120065342,1169663.8305447008,1455024.9248543005,40,9,1,89.0,38140,6082,32058,0.16991947591101408,0.07040538189410195,9,373.61374469273386,89.0,2,1,True,"OrderedDict([(1, 78), (0, 9)])","OrderedDict([((0, 1), [9, 78])])",OrderedDict(),OrderedDict(),68,68,0,0,0,21,47,0,0,0,0,25405.734639105904,25405.734639105904,373.61374469273386,Success,0,0,0,0,True,True,False,0,[],1.0
